Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:20:17.525083,11:20:25.781299,1,-1.0
1,11:20:17.525083,11:20:26.322880,1,-1.0
1,11:20:17.525083,11:20:26.868145,1,-1.0
1,11:20:17.525083,11:20:27.413558,1,-1.0
1,11:20:17.525083,11:20:27.960217,1,-1.0
1,11:20:17.525083,11:20:28.504303,1,-1.0
1,11:20:17.525083,11:20:29.052515,1,-1.0
1,11:20:17.525083,11:20:29.596365,1,-1.0
1,11:20:17.525083,11:20:30.140659,1,-1.0
1,11:20:17.525083,11:20:30.688166,1,-1.0
1,11:20:17.525083,11:20:31.232185,1,-1.0
1,11:20:17.525083,11:20:31.777489,1,-1.0
1,11:20:17.525083,11:20:32.322513,1,-1.0
1,11:20:17.525083,11:20:32.865525,1,-1.0
1,11:20:17.525083,11:20:33.407576,1,-1.0
1,11:20:17.525083,11:20:33.948952,1,-1.0
1,11:20:17.525083,11:20:34.491987,1,-1.0
1,11:20:17.525083,11:20:35.036552,1,-1.0
1,11:20:17.525083,11:20:35.580204,1,-1.0
1,11:20:17.525083,11:20:36.122571,1,-1.0
1,11:20:17.525083,11:20:36.665680,1,-1.0
1,11:20:17.525083,11:20:37.211233,1,-1.0
1,11:20:17.525083,11:20:37.756892,1,-1.0
1,11:20:17.525083,11:20:38.303617,1,-1.0
1,11:20:17.525083,11:20:38.848402,1,-1.0
1,11:20:17.525083,11:20:39.397495,1,-1.0
1,11:20:17.525083,11:20:39.941124,1,-1.0
1,11:20:17.525083,11:20:40.485424,1,-1.0
1,11:20:17.525083,11:20:41.029380,1,-1.0
1,11:20:17.525083,11:20:41.573589,1,-1.0
1,11:20:17.525083,11:20:42.117398,1,-1.0
1,11:20:17.525083,11:20:42.661591,1,-1.0
1,11:20:17.525083,11:20:43.202661,1,-1.0
1,11:20:17.525083,11:20:43.746015,1,-1.0
1,11:20:17.525083,11:20:44.290152,1,-1.0
1,11:20:17.525083,11:20:44.832437,1,-1.0
1,11:20:17.525083,11:20:45.377285,1,-1.0
1,11:20:17.525083,11:20:45.919283,1,-1.0
1,11:20:17.525083,11:20:46.464366,-1,-1.0
1,11:20:17.525083,11:20:47.007697,-1,-1.0
1,11:20:17.525083,11:20:47.624077,-1,-1.0
1,11:20:17.525083,11:20:48.168181,-1,-1.0
1,11:20:17.525083,11:20:48.711374,-1,-1.0
1,11:20:17.525083,11:20:49.256594,-1,-1.0
1,11:20:17.525083,11:20:49.801405,-1,-1.0
1,11:20:17.525083,11:20:50.348680,-1,-1.0
1,11:20:17.525083,11:20:50.891392,-1,-1.0
1,11:20:17.525083,11:20:51.434327,-1,-1.0
1,11:20:17.525083,11:20:51.980472,-1,-1.0
1,11:20:17.525083,11:20:52.525347,1,-1.0
1,11:20:17.525083,11:20:55.582756,-1,-1.0
1,11:20:17.525083,11:20:56.964187,-1,-1.0
1,11:20:17.525083,11:20:57.616403,1,-1.0
1,11:20:17.525083,11:20:58.161798,1,-1.0
1,11:20:17.525083,11:20:58.706169,1,-1.0
1,11:20:17.525083,11:20:59.251654,1,-1.0
1,11:20:17.525083,11:20:59.797803,1,-1.0
1,11:20:17.525083,11:21:00.341784,1,-1.0
1,11:20:17.525083,11:21:00.882259,1,-1.0
1,11:20:17.525083,11:21:01.428533,1,-1.0
1,11:20:17.525083,11:21:01.971846,1,-1.0
1,11:20:17.525083,11:21:02.519280,1,-1.0
1,11:20:17.525083,11:21:03.064270,1,-1.0
1,11:20:17.525083,11:21:03.605404,1,-1.0
1,11:20:17.525083,11:21:04.146575,1,-1.0
1,11:20:17.525083,11:21:04.689252,1,-1.0
1,11:20:17.525083,11:21:05.231762,1,-1.0
1,11:20:17.525083,11:21:05.775516,1,-1.0
1,11:20:17.525083,11:21:06.316493,1,-1.0
1,11:20:17.525083,11:21:06.861828,1,-1.0
1,11:20:17.525083,11:21:07.403377,1,-1.0
1,11:20:17.525083,11:21:07.947092,1,-1.0
1,11:20:17.525083,11:21:08.490246,1,-1.0
1,11:20:17.525083,11:21:09.035688,1,-1.0
1,11:20:17.525083,11:21:09.579831,1,-1.0
1,11:20:17.525083,11:21:10.122405,1,-1.0
1,11:20:17.525083,11:21:10.665447,1,-1.0
1,11:20:17.525083,11:21:11.210961,1,-1.0
1,11:20:17.525083,11:21:11.755475,1,-1.0
1,11:20:17.525083,11:21:12.300072,1,-1.0
1,11:20:17.525083,11:21:12.846609,1,-1.0
1,11:20:17.525083,11:21:13.393749,1,-1.0
1,11:20:17.525083,11:21:13.937521,1,-1.0
1,11:20:17.525083,11:21:14.483930,1,-1.0
1,11:20:17.525083,11:21:15.029673,1,-1.0
1,11:20:17.525083,11:21:15.575166,1,-1.0
1,11:20:17.525083,11:21:16.961930,1,-1.0
1,11:20:17.525083,11:21:17.510447,-1,-1.0
1,11:20:17.525083,11:21:18.053813,-1,-1.0
1,11:20:17.525083,11:21:18.599433,-1,-1.0
1,11:20:17.525083,11:21:19.144354,-1,-1.0
1,11:20:17.525083,11:21:19.691979,-1,-1.0
1,11:20:17.525083,11:21:20.236248,1,-1.0
1,11:20:17.525083,11:21:20.780325,1,-1.0
1,11:20:17.525083,11:21:21.322218,1,-1.0
1,11:20:17.525083,11:21:21.867587,1,-1.0
1,11:20:17.525083,11:21:22.412197,1,-1.0
1,11:20:17.525083,11:21:22.956975,1,-1.0
1,11:20:17.525083,11:21:23.502343,1,-1.0
1,11:20:17.525083,11:21:24.047866,1,-1.0
1,11:20:17.525083,11:21:24.591574,1,-1.0
1,11:20:17.525083,11:21:25.133382,1,-1.0
1,11:20:17.525083,11:21:25.675468,1,-1.0
1,11:20:17.525083,11:21:26.218956,1,-1.0
1,11:20:17.525083,11:21:26.761912,1,-1.0
1,11:20:17.525083,11:21:27.306285,1,-1.0
1,11:20:17.525083,11:21:27.849431,1,-1.0
1,11:20:17.525083,11:21:28.392411,1,-1.0
1,11:20:17.525083,11:21:28.936371,1,-1.0
1,11:20:17.525083,11:21:29.482465,1,-1.0
1,11:20:17.525083,11:21:30.027620,1,-1.0
1,11:20:17.525083,11:21:30.572465,1,-1.0
1,11:20:17.525083,11:21:31.118591,1,-1.0
1,11:20:17.525083,11:21:31.663497,1,-1.0
1,11:20:17.525083,11:21:32.211305,1,-1.0
1,11:20:17.525083,11:21:32.758511,1,-1.0
1,11:20:17.525083,11:21:33.303230,1,-1.0
1,11:20:17.525083,11:21:33.848372,1,-1.0
1,11:20:17.525083,11:21:34.393159,1,-1.0
1,11:20:17.525083,11:21:34.934134,1,-1.0
1,11:20:17.525083,11:21:35.477774,1,-1.0
1,11:20:17.525083,11:21:36.020976,-1,-1.0
1,11:20:17.525083,11:21:36.729059,1,-1.0
1,11:20:17.525083,11:21:37.272827,1,-1.0
1,11:20:17.525083,11:21:37.815393,1,-1.0
1,11:20:17.525083,11:21:38.360399,1,-1.0
1,11:20:17.525083,11:21:38.904414,1,-1.0
1,11:20:17.525083,11:21:39.450347,1,-1.0
1,11:20:17.525083,11:21:39.995441,1,-1.0
1,11:20:17.525083,11:21:40.540420,1,-1.0
1,11:20:17.525083,11:21:41.086092,1,-1.0
1,11:20:17.525083,11:21:41.631370,1,-1.0
1,11:20:17.525083,11:21:42.177014,1,-1.0
1,11:20:17.525083,11:21:42.718803,1,-1.0
1,11:20:17.525083,11:21:43.266149,1,-1.0
1,11:20:17.525083,11:21:43.810536,1,-1.0
1,11:20:17.525083,11:21:44.355593,1,-1.0
1,11:20:17.525083,11:21:44.902156,1,-1.0
1,11:20:17.525083,11:21:45.446368,1,-1.0
1,11:20:17.525083,11:21:45.988454,1,-1.0
1,11:20:17.525083,11:21:46.531388,1,-1.0
1,11:20:17.525083,11:21:47.076105,1,-1.0
1,11:20:17.525083,11:21:47.621401,1,-1.0
1,11:20:17.525083,11:21:48.163585,1,-1.0
1,11:20:17.525083,11:21:48.709239,1,-1.0
1,11:20:17.525083,11:21:49.254189,1,-1.0
1,11:20:17.525083,11:21:49.800174,1,-1.0
1,11:20:17.525083,11:21:50.344346,1,-1.0
1,11:20:17.525083,11:21:50.889337,1,-1.0
1,11:20:17.525083,11:21:51.433591,1,-1.0
1,11:20:17.525083,11:21:51.978186,1,-1.0
1,11:20:17.525083,11:21:52.524341,1,-1.0
1,11:20:17.525083,11:21:53.070059,1,-1.0
1,11:20:17.525083,11:21:53.617178,1,-1.0
1,11:20:17.525083,11:21:54.160118,1,-1.0
1,11:20:17.525083,11:21:54.706507,1,-1.0
1,11:20:17.525083,11:21:55.250617,1,-1.0
1,11:20:17.525083,11:21:55.791850,1,-1.0
1,11:20:17.525083,11:21:56.333599,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,11:21:56.351763,11:21:58.751659,1,-1.0
2,11:21:56.351763,11:21:59.294314,1,-1.0
2,11:21:56.351763,11:21:59.839744,1,-1.0
2,11:21:56.351763,11:22:00.387175,1,-1.0
2,11:21:56.351763,11:22:00.931734,1,-1.0
2,11:21:56.351763,11:22:01.478254,1,-1.0
2,11:21:56.351763,11:22:02.022588,1,-1.0
2,11:21:56.351763,11:22:02.567244,1,-1.0
2,11:21:56.351763,11:22:03.113289,1,-1.0
2,11:21:56.351763,11:22:03.659492,1,-1.0
2,11:21:56.351763,11:22:04.206090,1,-1.0
2,11:21:56.351763,11:22:04.750696,1,-1.0
2,11:21:56.351763,11:22:05.295954,1,-1.0
2,11:21:56.351763,11:22:05.840945,1,-1.0
2,11:21:56.351763,11:22:06.386585,1,-1.0
2,11:21:56.351763,11:22:06.930859,1,-1.0
2,11:21:56.351763,11:22:07.477481,1,-1.0
2,11:21:56.351763,11:22:08.019450,1,-1.0
2,11:21:56.351763,11:22:08.564471,1,-1.0
2,11:21:56.351763,11:22:09.110289,1,-1.0
2,11:21:56.351763,11:22:09.653728,1,-1.0
2,11:21:56.351763,11:22:10.200119,1,-1.0
2,11:21:56.351763,11:22:10.746541,1,-1.0
2,11:21:56.351763,11:22:11.291277,1,-1.0
2,11:21:56.351763,11:22:11.836350,1,-1.0
2,11:21:56.351763,11:22:12.382258,1,-1.0
2,11:21:56.351763,11:22:12.925182,1,-1.0
2,11:21:56.351763,11:22:13.471047,1,-1.0
2,11:21:56.351763,11:22:14.018496,1,-1.0
2,11:21:56.351763,11:22:14.561967,1,-1.0
2,11:21:56.351763,11:22:15.107947,1,-1.0
2,11:21:56.351763,11:22:15.649080,1,-1.0
2,11:21:56.351763,11:22:16.194496,1,-1.0
2,11:21:56.351763,11:22:16.735201,1,-1.0
2,11:21:56.351763,11:22:17.279240,1,-1.0
2,11:21:56.351763,11:22:19.496445,-1,-1.0
2,11:21:56.351763,11:22:20.042414,-1,-1.0
2,11:21:56.351763,11:22:20.584249,-1,-1.0
2,11:21:56.351763,11:22:21.128137,-1,-1.0
2,11:21:56.351763,11:22:21.694168,-1,-1.0
2,11:21:56.351763,11:22:22.240799,1,-1.0
2,11:21:56.351763,11:22:22.783595,1,-1.0
2,11:21:56.351763,11:22:23.328496,1,-1.0
2,11:21:56.351763,11:22:23.872377,1,-1.0
2,11:21:56.351763,11:22:24.417082,1,-1.0
2,11:21:56.351763,11:22:24.961396,1,-1.0
2,11:21:56.351763,11:22:25.509824,1,-1.0
2,11:21:56.351763,11:22:26.054124,1,-1.0
2,11:21:56.351763,11:22:26.594438,1,-1.0
2,11:21:56.351763,11:22:27.137159,1,-1.0
2,11:21:56.351763,11:22:27.679667,1,-1.0
2,11:21:56.351763,11:22:28.221626,1,-1.0
2,11:21:56.351763,11:22:28.763458,1,-1.0
2,11:21:56.351763,11:22:29.305558,1,-1.0
2,11:21:56.351763,11:22:29.846832,1,-1.0
2,11:21:56.351763,11:22:30.389473,1,-1.0
2,11:21:56.351763,11:22:30.934110,1,-1.0
2,11:21:56.351763,11:22:31.480779,1,-1.0
2,11:21:56.351763,11:22:32.026559,1,-1.0
2,11:21:56.351763,11:22:32.569690,1,-1.0
2,11:21:56.351763,11:22:33.115957,1,-1.0
2,11:21:56.351763,11:22:33.659737,1,-1.0
2,11:21:56.351763,11:22:34.204227,1,-1.0
2,11:21:56.351763,11:22:34.751356,1,-1.0
2,11:21:56.351763,11:22:35.296525,1,-1.0
2,11:21:56.351763,11:22:35.841164,1,-1.0
2,11:21:56.351763,11:22:36.383989,1,-1.0
2,11:21:56.351763,11:22:37.220651,1,-1.0
2,11:21:56.351763,11:22:37.763031,1,-1.0
2,11:21:56.351763,11:22:38.307869,1,-1.0
2,11:21:56.351763,11:22:38.848487,1,-1.0
2,11:21:56.351763,11:22:39.393580,1,-1.0
2,11:21:56.351763,11:22:39.936140,1,-1.0
2,11:21:56.351763,11:22:40.482150,1,-1.0
2,11:21:56.351763,11:22:41.863986,1,-1.0
2,11:21:56.351763,11:22:42.408607,1,-1.0
2,11:21:56.351763,11:22:42.952183,1,-1.0
2,11:21:56.351763,11:22:43.496632,1,-1.0
2,11:21:56.351763,11:22:44.043699,1,-1.0
2,11:21:56.351763,11:22:44.588238,1,-1.0
2,11:21:56.351763,11:22:45.132440,1,-1.0
2,11:21:56.351763,11:22:45.679621,1,-1.0
2,11:21:56.351763,11:22:46.223217,1,-1.0
2,11:21:56.351763,11:22:46.769248,1,-1.0
2,11:21:56.351763,11:22:47.312586,1,-1.0
2,11:21:56.351763,11:22:47.854316,1,-1.0
2,11:21:56.351763,11:22:49.236278,1,-1.0
2,11:21:56.351763,11:22:49.779765,1,-1.0
2,11:21:56.351763,11:22:50.321913,1,-1.0
2,11:21:56.351763,11:22:51.085418,1,-1.0
2,11:21:56.351763,11:22:51.630345,1,-1.0
2,11:21:56.351763,11:22:53.013298,1,-1.0
2,11:21:56.351763,11:22:53.557734,1,-1.0
2,11:21:56.351763,11:22:54.100376,1,-1.0
2,11:21:56.351763,11:22:54.647490,1,-1.0
2,11:21:56.351763,11:22:55.193094,1,-1.0
2,11:21:56.351763,11:22:55.738105,1,-1.0
2,11:21:56.351763,11:22:56.281549,1,-1.0
2,11:21:56.351763,11:22:56.826630,1,-1.0
2,11:21:56.351763,11:22:57.373237,1,-1.0
2,11:21:56.351763,11:22:57.920472,1,-1.0
2,11:21:56.351763,11:22:58.464490,1,-1.0
2,11:21:56.351763,11:22:59.009743,1,-1.0
2,11:21:56.351763,11:22:59.555206,1,-1.0
2,11:21:56.351763,11:23:00.099203,1,-1.0
2,11:21:56.351763,11:23:00.644026,1,-1.0
2,11:21:56.351763,11:23:01.187613,1,-1.0
2,11:21:56.351763,11:23:01.731799,1,-1.0
