Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:58:56.568917,16:58:59.719925,1,-1.0
1,16:58:56.568917,16:58:59.948442,1,-1.0
1,16:58:56.568917,16:59:00.175905,1,-1.0
1,16:58:56.568917,16:59:00.383062,1,-1.0
1,16:58:56.568917,16:59:00.599486,1,-1.0
1,16:58:56.568917,16:59:00.798843,1,-1.0
1,16:58:56.568917,16:59:01.016641,1,-1.0
1,16:58:56.568917,16:59:01.248964,1,-1.0
1,16:58:56.568917,16:59:01.463395,1,-1.0
1,16:58:56.568917,16:59:01.647249,1,-1.0
1,16:58:56.568917,16:59:01.846937,1,-1.0
1,16:58:56.568917,16:59:02.035384,1,-1.0
1,16:58:56.568917,16:59:02.227978,1,-1.0
1,16:58:56.568917,16:59:02.417888,1,-1.0
1,16:58:56.568917,16:59:02.602845,1,-1.0
1,16:58:56.568917,16:59:02.851452,1,-1.0
1,16:58:56.568917,16:59:03.087277,1,-1.0
1,16:58:56.568917,16:59:03.279369,1,-1.0
1,16:58:56.568917,16:59:03.516764,1,-1.0
1,16:58:56.568917,16:59:03.721571,1,-1.0
1,16:58:56.568917,16:59:03.923227,1,-1.0
1,16:58:56.568917,16:59:04.148091,1,-1.0
1,16:58:56.568917,16:59:04.374307,1,-1.0
1,16:58:56.568917,16:59:04.598323,1,-1.0
1,16:58:56.568917,16:59:04.815224,1,-1.0
1,16:58:56.568917,16:59:05.047161,1,-1.0
1,16:58:56.568917,16:59:05.283438,1,-1.0
1,16:58:56.568917,16:59:05.515082,1,-1.0
1,16:58:56.568917,16:59:06.037796,1,-1.0
1,16:58:56.568917,16:59:06.765439,-1,-1.0
1,16:58:56.568917,16:59:07.141417,-1,-1.0
1,16:58:56.568917,16:59:07.424989,-1,-1.0
1,16:58:56.568917,16:59:07.727219,-1,-1.0
1,16:58:56.568917,16:59:08.068293,-1,-1.0
1,16:58:56.568917,16:59:08.467648,-1,-1.0
1,16:58:56.568917,16:59:08.742169,-1,-1.0
1,16:58:56.568917,16:59:09.129369,-1,-1.0
1,16:58:56.568917,16:59:09.424164,-1,-1.0
1,16:58:56.568917,16:59:09.704315,-1,-1.0
1,16:58:56.568917,16:59:09.982265,1,-1.0
