Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:41:33.918501,16:41:43.269630,1,-1.0
1,16:41:33.918501,16:41:44.430411,-1,-1.0
1,16:41:33.918501,16:41:45.222706,1,-1.0
1,16:41:33.918501,16:41:45.644552,1,-1.0
1,16:41:33.918501,16:41:46.058671,-1,-1.0
1,16:41:33.918501,16:41:46.449046,-1,-1.0
1,16:41:33.918501,16:41:46.815749,1,-1.0
1,16:41:33.918501,16:41:47.145742,1,-1.0
1,16:41:33.918501,16:41:47.460702,1,-1.0
1,16:41:33.918501,16:41:47.842699,-1,-1.0
1,16:41:33.918501,16:41:48.154522,-1,-1.0
