Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:36:51.550039,16:36:53.178866,1,-1.0
1,16:36:51.550039,16:36:53.515461,-1,-1.0
1,16:36:51.550039,16:36:53.928895,1,-1.0
1,16:36:51.550039,16:36:54.266678,-1,-1.0
1,16:36:51.550039,16:36:54.596911,1,-1.0
1,16:36:51.550039,16:36:54.915264,-1,-1.0
1,16:36:51.550039,16:36:55.262212,1,-1.0
1,16:36:51.550039,16:36:55.550273,-1,-1.0
1,16:36:51.550039,16:36:55.840090,1,-1.0
1,16:36:51.550039,16:36:56.139756,-1,-1.0
1,16:36:51.550039,16:36:56.450397,1,-1.0
1,16:36:51.550039,16:36:56.975626,-1,-1.0
1,16:36:51.550039,16:36:57.253664,1,-1.0
1,16:36:51.550039,16:36:57.574608,-1,-1.0
