Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:36:26.795294,16:36:28.694370,1,-1.0
1,16:36:26.795294,16:36:29.218856,1,-1.0
1,16:36:26.795294,16:36:29.469495,1,-1.0
1,16:36:26.795294,16:36:29.715796,-1,-1.0
1,16:36:26.795294,16:36:30.104387,-1,-1.0
1,16:36:26.795294,16:36:30.350037,-1,-1.0
1,16:36:26.795294,16:36:30.691082,1,-1.0
1,16:36:26.795294,16:36:31.069243,-1,-1.0
1,16:36:26.795294,16:36:31.269981,1,-1.0
1,16:36:26.795294,16:36:31.495105,-1,-1.0
1,16:36:26.795294,16:36:31.655100,1,-1.0
1,16:36:26.795294,16:36:31.877308,-1,-1.0
1,16:36:26.795294,16:36:32.115645,1,-1.0
1,16:36:26.795294,16:36:32.445942,-1,-1.0
1,16:36:26.795294,16:36:32.621504,1,-1.0
