Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,17:14:02.119962,17:14:04.035964,1,-1.0
1,17:14:02.119962,17:14:04.376768,1,-1.0
1,17:14:02.119962,17:14:04.693965,1,-1.0
1,17:14:02.119962,17:14:05.002129,1,-1.0
1,17:14:02.119962,17:14:05.319211,1,-1.0
1,17:14:02.119962,17:14:05.566533,1,-1.0
1,17:14:02.119962,17:14:05.880283,1,-1.0
1,17:14:02.119962,17:14:06.176816,1,-1.0
1,17:14:02.119962,17:14:06.476883,1,-1.0
1,17:14:02.119962,17:14:06.735437,1,-1.0
1,17:14:02.119962,17:14:07.013266,1,-1.0
1,17:14:02.119962,17:14:07.286744,1,-1.0
1,17:14:02.119962,17:14:07.565910,1,-1.0
1,17:14:02.119962,17:14:07.812866,1,-1.0
1,17:14:02.119962,17:14:08.079305,1,-1.0
1,17:14:02.119962,17:14:08.365219,1,-1.0
1,17:14:02.119962,17:14:08.630011,1,-1.0
1,17:14:02.119962,17:14:08.878208,1,-1.0
1,17:14:02.119962,17:14:09.158824,1,-1.0
1,17:14:02.119962,17:14:09.414895,1,-1.0
1,17:14:02.119962,17:14:09.676210,1,-1.0
1,17:14:02.119962,17:14:10.123783,1,-1.0
1,17:14:02.119962,17:14:10.412064,1,-1.0
1,17:14:02.119962,17:14:10.797628,1,-1.0
1,17:14:02.119962,17:14:11.112955,1,-1.0
1,17:14:02.119962,17:14:11.428450,1,-1.0
1,17:14:02.119962,17:14:11.743432,1,-1.0
1,17:14:02.119962,17:14:12.033333,1,-1.0
1,17:14:02.119962,17:14:12.337759,1,-1.0
1,17:14:02.119962,17:14:12.718366,1,-1.0
1,17:14:02.119962,17:14:12.966670,1,-1.0
1,17:14:02.119962,17:14:13.191481,-1,-1.0
1,17:14:02.119962,17:14:13.608772,-1,-1.0
1,17:14:02.119962,17:14:14.016452,-1,-1.0
1,17:14:02.119962,17:14:14.401208,-1,-1.0
1,17:14:02.119962,17:14:14.787047,-1,-1.0
1,17:14:02.119962,17:14:15.134836,-1,-1.0
1,17:14:02.119962,17:14:15.512831,-1,-1.0
1,17:14:02.119962,17:14:15.850384,-1,-1.0
1,17:14:02.119962,17:14:16.227423,-1,-1.0
1,17:14:02.119962,17:14:16.604169,-1,-1.0
1,17:14:02.119962,17:14:16.916625,-1,-1.0
1,17:14:02.119962,17:14:17.696355,-1,-1.0
1,17:14:02.119962,17:14:18.254267,1,-1.0
1,17:14:02.119962,17:14:18.518443,1,-1.0
1,17:14:02.119962,17:14:18.848907,1,-1.0
1,17:14:02.119962,17:14:19.124642,1,-1.0
1,17:14:02.119962,17:14:19.503762,1,-1.0
1,17:14:02.119962,17:14:19.774626,1,-1.0
1,17:14:02.119962,17:14:20.102302,1,-1.0
1,17:14:02.119962,17:14:20.408588,1,-1.0
1,17:14:02.119962,17:14:20.716864,1,-1.0
1,17:14:02.119962,17:14:21.098175,1,-1.0
1,17:14:02.119962,17:14:21.364075,1,-1.0
1,17:14:02.119962,17:14:21.742249,1,-1.0
1,17:14:02.119962,17:14:22.010183,1,-1.0
1,17:14:02.119962,17:14:22.327358,1,-1.0
1,17:14:02.119962,17:14:22.664324,1,-1.0
1,17:14:02.119962,17:14:22.932327,1,-1.0
1,17:14:02.119962,17:14:23.252758,1,-1.0
1,17:14:02.119962,17:14:23.530107,1,-1.0
1,17:14:02.119962,17:14:23.825853,1,-1.0
1,17:14:02.119962,17:14:24.159817,1,-1.0
1,17:14:02.119962,17:14:24.468666,1,-1.0
1,17:14:02.119962,17:14:24.737612,1,-1.0
1,17:14:02.119962,17:14:25.114160,1,-1.0
1,17:14:02.119962,17:14:25.429791,1,-1.0
1,17:14:02.119962,17:14:25.812802,1,-1.0
1,17:14:02.119962,17:14:26.128163,1,-1.0
1,17:14:02.119962,17:14:26.510311,1,-1.0
1,17:14:02.119962,17:14:26.825702,1,-1.0
1,17:14:02.119962,17:14:27.239967,1,-1.0
1,17:14:02.119962,17:14:27.487487,1,-1.0
1,17:14:02.119962,17:14:27.582291,-1,-1.0
1,17:14:02.119962,17:14:27.857068,-1,-1.0
1,17:14:02.119962,17:14:28.244733,-1,-1.0
1,17:14:02.119962,17:14:28.557374,-1,-1.0
1,17:14:02.119962,17:14:28.876169,-1,-1.0
1,17:14:02.119962,17:14:29.260336,-1,-1.0
1,17:14:02.119962,17:14:29.566060,-1,-1.0
1,17:14:02.119962,17:14:29.824139,1,-1.0
1,17:14:02.119962,17:14:30.294048,-1,-1.0
1,17:14:02.119962,17:14:30.731451,1,-1.0
1,17:14:02.119962,17:14:30.955470,1,-1.0
1,17:14:02.119962,17:14:31.149851,1,-1.0
1,17:14:02.119962,17:14:31.386938,1,-1.0
1,17:14:02.119962,17:14:31.640679,1,-1.0
1,17:14:02.119962,17:14:31.923404,1,-1.0
1,17:14:02.119962,17:14:32.179779,1,-1.0
