Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:37:33.844401,11:37:39.419982,1,-1.0
1,11:37:33.844401,11:37:41.644000,1,-1.0
1,11:37:33.844401,11:37:46.383441,1,-1.0
1,11:37:33.844401,11:37:54.467156,1,-1.0
1,11:37:33.844401,11:37:56.828342,1,-1.0
1,11:37:33.844401,11:38:00.968282,1,-1.0
1,11:37:33.844401,11:38:03.194625,1,-1.0
1,11:37:33.844401,11:38:03.739041,1,-1.0
1,11:37:33.844401,11:38:04.282949,1,-1.0
1,11:37:33.844401,11:38:04.829410,1,-1.0
1,11:37:33.844401,11:38:05.375353,1,-1.0
1,11:37:33.844401,11:38:05.922765,1,-1.0
1,11:37:33.844401,11:38:06.467774,1,-1.0
1,11:37:33.844401,11:38:07.012279,1,-1.0
1,11:37:33.844401,11:38:07.560026,1,-1.0
1,11:37:33.844401,11:38:08.103973,1,-1.0
1,11:37:33.844401,11:38:08.649046,1,-1.0
1,11:37:33.844401,11:38:09.193531,1,-1.0
1,11:37:33.844401,11:38:09.736689,1,-1.0
1,11:37:33.844401,11:38:10.279814,1,-1.0
1,11:37:33.844401,11:38:10.821857,1,-1.0
1,11:37:33.844401,11:38:11.366114,1,-1.0
1,11:37:33.844401,11:38:11.912005,1,-1.0
1,11:37:33.844401,11:38:12.455823,1,-1.0
1,11:37:33.844401,11:38:13.002964,1,-1.0
1,11:37:33.844401,11:38:13.542737,1,-1.0
1,11:37:33.844401,11:38:14.089014,1,-1.0
1,11:37:33.844401,11:38:14.634150,1,-1.0
1,11:37:33.844401,11:38:15.179242,1,-1.0
1,11:37:33.844401,11:38:15.725739,1,-1.0
1,11:37:33.844401,11:38:16.270731,1,-1.0
1,11:37:33.844401,11:38:16.815092,1,-1.0
1,11:37:33.844401,11:38:17.360760,1,-1.0
1,11:37:33.844401,11:38:17.905066,1,-1.0
1,11:37:33.844401,11:38:18.453205,1,-1.0
1,11:37:33.844401,11:38:18.998183,1,-1.0
1,11:37:33.844401,11:38:19.542052,1,-1.0
1,11:37:33.844401,11:38:20.084720,1,-1.0
1,11:37:33.844401,11:38:20.627581,1,-1.0
1,11:37:33.844401,11:38:21.190188,1,-1.0
1,11:37:33.844401,11:38:21.735923,1,-1.0
1,11:37:33.844401,11:38:22.281725,1,-1.0
1,11:37:33.844401,11:38:22.829040,1,-1.0
1,11:37:33.844401,11:38:23.373859,1,-1.0
1,11:37:33.844401,11:38:23.917828,1,-1.0
1,11:37:33.844401,11:38:24.464133,1,-1.0
1,11:37:33.844401,11:38:25.008017,1,-1.0
1,11:37:33.844401,11:38:25.553330,-1,-1.0
1,11:37:33.844401,11:38:26.098057,-1,-1.0
1,11:37:33.844401,11:38:26.641152,-1,-1.0
1,11:37:33.844401,11:38:27.187073,-1,-1.0
1,11:37:33.844401,11:38:27.733155,-1,-1.0
1,11:37:33.844401,11:38:28.279905,-1,-1.0
1,11:37:33.844401,11:38:28.823845,-1,-1.0
1,11:37:33.844401,11:38:29.368993,-1,-1.0
1,11:37:33.844401,11:38:29.913067,-1,-1.0
1,11:37:33.844401,11:38:30.459009,-1,-1.0
1,11:37:33.844401,11:38:31.005943,-1,-1.0
1,11:37:33.844401,11:38:31.550103,-1,-1.0
1,11:37:33.844401,11:38:32.092744,-1,-1.0
1,11:37:33.844401,11:38:32.639171,-1,-1.0
1,11:37:33.844401,11:38:33.183593,-1,-1.0
1,11:37:33.844401,11:38:33.729672,-1,-1.0
1,11:37:33.844401,11:38:34.274300,-1,-1.0
1,11:37:33.844401,11:38:34.818069,-1,-1.0
1,11:37:33.844401,11:38:35.360462,-1,-1.0
1,11:37:33.844401,11:38:35.906123,1,-1.0
1,11:37:33.844401,11:38:36.453909,1,-1.0
1,11:37:33.844401,11:38:37.000328,1,-1.0
1,11:37:33.844401,11:38:37.543790,1,-1.0
1,11:37:33.844401,11:38:38.089846,1,-1.0
1,11:37:33.844401,11:38:38.635898,1,-1.0
1,11:37:33.844401,11:38:39.181847,1,-1.0
1,11:37:33.844401,11:38:39.727870,1,-1.0
1,11:37:33.844401,11:38:40.276268,1,-1.0
1,11:37:33.844401,11:38:40.817577,1,-1.0
1,11:37:33.844401,11:38:41.358138,1,-1.0
1,11:37:33.844401,11:38:41.900835,1,-1.0
1,11:37:33.844401,11:38:42.442897,1,-1.0
1,11:37:33.844401,11:38:42.987487,1,-1.0
1,11:37:33.844401,11:38:43.530403,1,-1.0
1,11:37:33.844401,11:38:44.075827,1,-1.0
1,11:37:33.844401,11:38:44.620016,1,-1.0
1,11:37:33.844401,11:38:45.165152,1,-1.0
1,11:37:33.844401,11:38:45.711003,1,-1.0
1,11:37:33.844401,11:38:46.257377,1,-1.0
1,11:37:33.844401,11:38:47.640458,1,-1.0
1,11:37:33.844401,11:38:48.463192,1,-1.0
1,11:37:33.844401,11:38:49.133538,1,-1.0
1,11:37:33.844401,11:38:49.677833,1,-1.0
1,11:37:33.844401,11:38:50.219007,1,-1.0
1,11:37:33.844401,11:38:50.762117,1,-1.0
1,11:37:33.844401,11:38:52.145063,1,-1.0
1,11:37:33.844401,11:38:52.688165,1,-1.0
1,11:37:33.844401,11:38:53.229986,1,-1.0
1,11:37:33.844401,11:38:53.771722,1,-1.0
1,11:37:33.844401,11:38:54.312903,1,-1.0
1,11:37:33.844401,11:38:54.859882,1,-1.0
1,11:37:33.844401,11:38:55.404813,1,-1.0
1,11:37:33.844401,11:38:55.950807,1,-1.0
1,11:37:33.844401,11:38:57.336246,-1,-1.0
1,11:37:33.844401,11:38:58.143799,-1,-1.0
1,11:37:33.844401,11:38:58.730432,-1,-1.0
1,11:37:33.844401,11:38:59.276225,-1,-1.0
1,11:37:33.844401,11:38:59.821521,-1,-1.0
1,11:37:33.844401,11:39:00.364865,-1,-1.0
1,11:37:33.844401,11:39:00.911823,-1,-1.0
1,11:37:33.844401,11:39:01.454045,-1,-1.0
1,11:37:33.844401,11:39:01.997196,-1,-1.0
1,11:37:33.844401,11:39:03.578512,1,-1.0
1,11:37:33.844401,11:39:10.828913,1,-1.0
1,11:37:33.844401,11:39:12.211084,1,-1.0
1,11:37:33.844401,11:39:12.752218,1,-1.0
1,11:37:33.844401,11:39:13.293913,1,-1.0
1,11:37:33.844401,11:39:13.837262,1,-1.0
1,11:37:33.844401,11:39:14.379974,1,-1.0
1,11:37:33.844401,11:39:14.926112,1,-1.0
1,11:37:33.844401,11:39:15.472964,1,-1.0
1,11:37:33.844401,11:39:16.019450,1,-1.0
1,11:37:33.844401,11:39:16.566535,1,-1.0
1,11:37:33.844401,11:39:17.109990,1,-1.0
1,11:37:33.844401,11:39:17.657955,1,-1.0
1,11:37:33.844401,11:39:18.202596,1,-1.0
1,11:37:33.844401,11:39:18.747052,1,-1.0
1,11:37:33.844401,11:39:19.363921,1,-1.0
1,11:37:33.844401,11:39:19.953715,1,-1.0
1,11:37:33.844401,11:39:20.501260,1,-1.0
1,11:37:33.844401,11:39:21.045929,1,-1.0
1,11:37:33.844401,11:39:21.590869,1,-1.0
1,11:37:33.844401,11:39:22.135838,1,-1.0
1,11:37:33.844401,11:39:22.682548,1,-1.0
1,11:37:33.844401,11:39:23.230101,1,-1.0
1,11:37:33.844401,11:39:23.774670,1,-1.0
1,11:37:33.844401,11:39:24.319458,1,-1.0
1,11:37:33.844401,11:39:24.863528,1,-1.0
1,11:37:33.844401,11:39:25.407934,1,-1.0
1,11:37:33.844401,11:39:26.173666,1,-1.0
1,11:37:33.844401,11:39:26.716959,1,-1.0
1,11:37:33.844401,11:39:27.294404,1,-1.0
1,11:37:33.844401,11:39:27.880779,1,-1.0
1,11:37:33.844401,11:39:28.500256,1,-1.0
1,11:37:33.844401,11:39:29.115514,1,-1.0
