Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:55:00.087368,16:55:01.683624,1,-1.0
1,16:55:00.087368,16:55:02.013464,1,-1.0
1,16:55:00.087368,16:55:02.329135,1,-1.0
1,16:55:00.087368,16:55:02.574059,1,-1.0
1,16:55:00.087368,16:55:02.840870,1,-1.0
1,16:55:00.087368,16:55:03.113592,1,-1.0
1,16:55:00.087368,16:55:03.377557,1,-1.0
1,16:55:00.087368,16:55:03.622945,1,-1.0
1,16:55:00.087368,16:55:03.870013,1,-1.0
1,16:55:00.087368,16:55:04.112382,1,-1.0
1,16:55:00.087368,16:55:04.336014,1,-1.0
1,16:55:00.087368,16:55:04.581470,1,-1.0
1,16:55:00.087368,16:55:04.805508,1,-1.0
1,16:55:00.087368,16:55:05.064604,1,-1.0
1,16:55:00.087368,16:55:05.307375,1,-1.0
1,16:55:00.087368,16:55:05.543210,1,-1.0
1,16:55:00.087368,16:55:05.825791,1,-1.0
1,16:55:00.087368,16:55:06.063531,1,-1.0
1,16:55:00.087368,16:55:06.315969,1,-1.0
1,16:55:00.087368,16:55:06.555183,1,-1.0
1,16:55:00.087368,16:55:06.799299,1,-1.0
1,16:55:00.087368,16:55:07.024804,1,-1.0
1,16:55:00.087368,16:55:07.250672,1,-1.0
1,16:55:00.087368,16:55:07.474538,1,-1.0
1,16:55:00.087368,16:55:07.650399,1,-1.0
1,16:55:00.087368,16:55:07.854139,1,-1.0
1,16:55:00.087368,16:55:08.028713,1,-1.0
1,16:55:00.087368,16:55:08.233065,1,-1.0
1,16:55:00.087368,16:55:08.425790,1,-1.0
1,16:55:00.087368,16:55:08.631953,1,-1.0
1,16:55:00.087368,16:55:08.874559,1,-1.0
1,16:55:00.087368,16:55:09.108953,1,-1.0
1,16:55:00.087368,16:55:09.341946,1,-1.0
1,16:55:00.087368,16:55:09.576694,1,-1.0
1,16:55:00.087368,16:55:09.822141,1,-1.0
1,16:55:00.087368,16:55:10.063667,1,-1.0
1,16:55:00.087368,16:55:10.461536,-1,-1.0
1,16:55:00.087368,16:55:10.837781,-1,-1.0
1,16:55:00.087368,16:55:11.212980,-1,-1.0
1,16:55:00.087368,16:55:11.480220,-1,-1.0
1,16:55:00.087368,16:55:11.806949,-1,-1.0
1,16:55:00.087368,16:55:12.063913,-1,-1.0
1,16:55:00.087368,16:55:12.375361,-1,-1.0
1,16:55:00.087368,16:55:12.655381,-1,-1.0
1,16:55:00.087368,16:55:12.903984,-1,-1.0
1,16:55:00.087368,16:55:13.214664,-1,-1.0
1,16:55:00.087368,16:55:13.542941,-1,-1.0
1,16:55:00.087368,16:55:13.767361,1,-1.0
1,16:55:00.087368,16:55:14.082960,-1,-1.0
1,16:55:00.087368,16:55:14.418013,-1,-1.0
1,16:55:00.087368,16:55:14.738049,-1,-1.0
1,16:55:00.087368,16:55:15.319290,-1,-1.0
1,16:55:00.087368,16:55:15.798739,-1,-1.0
1,16:55:00.087368,16:55:16.080089,-1,-1.0
1,16:55:00.087368,16:55:16.710087,-1,-1.0
1,16:55:00.087368,16:55:17.089717,-1,-1.0
1,16:55:00.087368,16:55:17.590932,-1,-1.0
1,16:55:00.087368,16:55:18.188522,-1,-1.0
1,16:55:00.087368,16:55:18.656846,-1,-1.0
1,16:55:00.087368,16:55:19.028855,-1,-1.0
1,16:55:00.087368,16:55:19.507474,-1,-1.0
1,16:55:00.087368,16:55:19.917234,-1,-1.0
1,16:55:00.087368,16:55:20.307031,-1,-1.0
1,16:55:00.087368,16:55:21.275910,1,-1.0
1,16:55:00.087368,16:55:21.661521,1,-1.0
1,16:55:00.087368,16:55:21.955773,1,-1.0
1,16:55:00.087368,16:55:22.231083,1,-1.0
1,16:55:00.087368,16:55:22.525853,1,-1.0
1,16:55:00.087368,16:55:22.802199,1,-1.0
1,16:55:00.087368,16:55:23.118555,1,-1.0
1,16:55:00.087368,16:55:23.403704,1,-1.0
1,16:55:00.087368,16:55:23.678560,1,-1.0
1,16:55:00.087368,16:55:23.974562,1,-1.0
1,16:55:00.087368,16:55:24.309897,1,-1.0
1,16:55:00.087368,16:55:24.634884,1,-1.0
1,16:55:00.087368,16:55:24.897208,1,-1.0
1,16:55:00.087368,16:55:25.207655,1,-1.0
1,16:55:00.087368,16:55:25.515259,1,-1.0
1,16:55:00.087368,16:55:25.820249,1,-1.0
1,16:55:00.087368,16:55:26.105523,1,-1.0
1,16:55:00.087368,16:55:26.484163,1,-1.0
1,16:55:00.087368,16:55:26.768748,1,-1.0
1,16:55:00.087368,16:55:27.149373,1,-1.0
1,16:55:00.087368,16:55:27.687005,1,-1.0
1,16:55:00.087368,16:55:28.023016,1,-1.0
1,16:55:00.087368,16:55:28.448978,1,-1.0
1,16:55:00.087368,16:55:28.824607,1,-1.0
1,16:55:00.087368,16:55:29.160467,1,-1.0
1,16:55:00.087368,16:55:29.622867,1,-1.0
1,16:55:00.087368,16:55:30.106028,1,-1.0
1,16:55:00.087368,16:55:30.686420,-1,-1.0
1,16:55:00.087368,16:55:31.102684,-1,-1.0
1,16:55:00.087368,16:55:31.488473,-1,-1.0
1,16:55:00.087368,16:55:31.872513,-1,-1.0
1,16:55:00.087368,16:55:32.486940,-1,-1.0
1,16:55:00.087368,16:55:32.784090,1,-1.0
1,16:55:00.087368,16:55:33.880677,-1,-1.0
