Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,09:24:30.195326,09:24:33.307722,1,-1.0
1,09:24:30.195326,09:24:33.780702,-1,-1.0
1,09:24:30.195326,09:24:34.284338,1,-1.0
1,09:24:30.195326,09:24:34.767576,1,-1.0
1,09:24:30.195326,09:24:35.489316,-1,-1.0
1,09:24:30.195326,09:24:35.907371,1,-1.0
1,09:24:30.195326,09:24:36.392106,-1,-1.0
1,09:24:30.195326,09:24:37.011261,1,-1.0
1,09:24:30.195326,09:24:37.392193,-1,-1.0
1,09:24:30.195326,09:24:39.582137,1,-1.0
1,09:24:30.195326,09:24:40.153482,-1,-1.0
1,09:24:30.195326,09:24:40.896789,-1,-1.0
1,09:24:30.195326,09:24:41.127719,1,-1.0
1,09:24:30.195326,09:24:41.319215,1,-1.0
1,09:24:30.195326,09:24:41.532236,1,-1.0
1,09:24:30.195326,09:24:42.088065,1,-1.0
1,09:24:30.195326,09:24:45.469438,1,-1.0
1,09:24:30.195326,09:24:45.656323,1,-1.0
1,09:24:30.195326,09:24:45.856843,1,-1.0
1,09:24:30.195326,09:24:46.056253,1,-1.0
1,09:24:30.195326,09:24:46.237911,1,-1.0
1,09:24:30.195326,09:24:46.426398,1,-1.0
1,09:24:30.195326,09:24:46.625922,1,-1.0
1,09:24:30.195326,09:24:46.817693,1,-1.0
1,09:24:30.195326,09:24:46.989469,1,-1.0
1,09:24:30.195326,09:24:47.177075,1,-1.0
1,09:24:30.195326,09:24:47.379274,1,-1.0
1,09:24:30.195326,09:24:47.546982,1,-1.0
1,09:24:30.195326,09:24:47.736949,1,-1.0
1,09:24:30.195326,09:24:47.916378,1,-1.0
1,09:24:30.195326,09:24:48.092372,1,-1.0
1,09:24:30.195326,09:24:48.304949,1,-1.0
1,09:24:30.195326,09:24:48.507116,1,-1.0
1,09:24:30.195326,09:24:48.687088,1,-1.0
1,09:24:30.195326,09:24:48.879710,1,-1.0
1,09:24:30.195326,09:24:49.078306,1,-1.0
1,09:24:30.195326,09:24:49.286587,1,-1.0
1,09:24:30.195326,09:24:49.497135,1,-1.0
1,09:24:30.195326,09:24:50.262466,-1,-1.0
1,09:24:30.195326,09:24:50.470586,-1,-1.0
1,09:24:30.195326,09:24:50.630702,-1,-1.0
1,09:24:30.195326,09:24:50.820223,-1,-1.0
1,09:24:30.195326,09:24:50.998133,-1,-1.0
1,09:24:30.195326,09:24:51.179469,-1,-1.0
1,09:24:30.195326,09:24:51.363726,-1,-1.0
1,09:24:30.195326,09:24:51.563703,-1,-1.0
1,09:24:30.195326,09:24:51.764813,-1,-1.0
1,09:24:30.195326,09:24:51.957537,-1,-1.0
1,09:24:30.195326,09:24:52.159103,-1,-1.0
1,09:24:30.195326,09:24:54.022163,-1,-1.0
1,09:24:30.195326,09:24:55.866514,-1,-1.0
1,09:24:30.195326,09:24:56.064556,-1,-1.0
1,09:24:30.195326,09:24:56.727413,-1,-1.0
1,09:24:30.195326,09:24:56.939059,-1,-1.0
1,09:24:30.195326,09:24:58.008061,-1,-1.0
1,09:24:30.195326,09:24:58.249575,-1,-1.0
1,09:24:30.195326,09:24:59.791157,-1,-1.0
1,09:24:30.195326,09:24:59.992478,-1,-1.0
1,09:24:30.195326,09:25:00.164582,-1,-1.0
1,09:24:30.195326,09:25:00.333529,-1,-1.0
1,09:24:30.195326,09:25:02.192282,1,-1.0
1,09:24:30.195326,09:25:02.393381,1,-1.0
1,09:24:30.195326,09:25:02.564524,1,-1.0
1,09:24:30.195326,09:25:02.736322,1,-1.0
1,09:24:30.195326,09:25:02.903921,1,-1.0
1,09:24:30.195326,09:25:03.084184,1,-1.0
1,09:24:30.195326,09:25:03.257662,1,-1.0
1,09:24:30.195326,09:25:03.457428,1,-1.0
1,09:24:30.195326,09:25:03.660117,1,-1.0
1,09:24:30.195326,09:25:03.862236,1,-1.0
1,09:24:30.195326,09:25:04.072173,1,-1.0
1,09:24:30.195326,09:25:04.701504,1,-1.0
1,09:24:30.195326,09:25:07.523130,1,-1.0
1,09:24:30.195326,09:25:07.915098,1,-1.0
1,09:24:30.195326,09:25:08.166235,1,-1.0
1,09:24:30.195326,09:25:08.368351,1,-1.0
1,09:24:30.195326,09:25:08.682138,1,-1.0
1,09:24:30.195326,09:25:09.018381,1,-1.0
1,09:24:30.195326,09:25:09.594568,1,-1.0
1,09:24:30.195326,09:25:11.527070,-1,-1.0
1,09:24:30.195326,09:25:11.731437,-1,-1.0
1,09:24:30.195326,09:25:11.942681,-1,-1.0
1,09:24:30.195326,09:25:12.112144,-1,-1.0
1,09:24:30.195326,09:25:12.315263,-1,-1.0
1,09:24:30.195326,09:25:13.424162,-1,-1.0
1,09:24:30.195326,09:25:21.664468,-1,-1.0
1,09:24:30.195326,09:25:21.855517,-1,-1.0
1,09:24:30.195326,09:25:22.035175,-1,-1.0
1,09:24:30.195326,09:25:22.174456,-1,-1.0
1,09:24:30.195326,09:25:23.094362,-1,-1.0
