Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:30:15.170878,14:30:20.753125,1,-1.0
1,14:30:15.170878,14:30:21.103040,1,-1.0
1,14:30:15.170878,14:30:21.364852,1,-1.0
1,14:30:15.170878,14:30:21.532468,-1,-1.0
1,14:30:15.170878,14:30:21.942502,-1,-1.0
1,14:30:15.170878,14:30:22.502536,-1,-1.0
1,14:30:15.170878,14:30:22.789281,-1,-1.0
1,14:30:15.170878,14:30:23.140062,1,-1.0
1,14:30:15.170878,14:30:23.473719,1,-1.0
1,14:30:15.170878,14:30:23.739968,1,-1.0
1,14:30:15.170878,14:30:23.996711,1,-1.0
1,14:30:15.170878,14:30:24.716852,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
