Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,09:46:38.946577,09:46:46.213639,1,-1.0
1,09:46:38.946577,09:46:47.040393,1,-1.0
1,09:46:38.946577,09:46:48.429104,1,-1.0
1,09:46:38.946577,09:46:48.972856,1,-1.0
1,09:46:38.946577,09:46:49.748123,1,-1.0
1,09:46:38.946577,09:46:50.472088,1,-1.0
1,09:46:38.946577,09:46:51.020486,1,-1.0
1,09:46:38.946577,09:46:51.573808,1,-1.0
1,09:46:38.946577,09:46:52.124716,1,-1.0
1,09:46:38.946577,09:46:52.675588,1,-1.0
1,09:46:38.946577,09:46:53.227486,1,-1.0
1,09:46:38.946577,09:46:53.782256,1,-1.0
1,09:46:38.946577,09:46:55.185582,1,-1.0
1,09:46:38.946577,09:46:55.736654,1,-1.0
1,09:46:38.946577,09:46:56.290158,1,-1.0
1,09:46:38.946577,09:46:57.201300,1,-1.0
1,09:46:38.946577,09:46:57.753286,1,-1.0
1,09:46:38.946577,09:46:58.300258,1,-1.0
1,09:46:38.946577,09:46:58.843932,1,-1.0
1,09:46:38.946577,09:46:59.389460,1,-1.0
1,09:46:38.946577,09:46:59.956600,1,-1.0
1,09:46:38.946577,09:47:00.502537,1,-1.0
1,09:46:38.946577,09:47:01.051666,1,-1.0
1,09:46:38.946577,09:47:01.597238,1,-1.0
1,09:46:38.946577,09:47:02.149284,1,-1.0
1,09:46:38.946577,09:47:02.694717,1,-1.0
1,09:46:38.946577,09:47:03.243570,1,-1.0
1,09:46:38.946577,09:47:03.796229,1,-1.0
1,09:46:38.946577,09:47:04.349259,1,-1.0
1,09:46:38.946577,09:47:04.900814,1,-1.0
1,09:46:38.946577,09:47:05.452283,1,-1.0
1,09:46:38.946577,09:47:06.005012,1,-1.0
1,09:46:38.946577,09:47:06.556537,1,-1.0
1,09:46:38.946577,09:47:07.190389,1,-1.0
1,09:46:38.946577,09:47:08.014117,-1,-1.0
1,09:46:38.946577,09:47:08.723217,-1,-1.0
1,09:46:38.946577,09:47:10.117997,-1,-1.0
1,09:46:38.946577,09:47:10.662123,-1,-1.0
1,09:46:38.946577,09:47:11.208276,-1,-1.0
1,09:46:38.946577,09:47:11.764372,-1,-1.0
1,09:46:38.946577,09:47:12.316561,-1,-1.0
1,09:46:38.946577,09:47:12.869838,-1,-1.0
1,09:46:38.946577,09:47:13.425284,-1,-1.0
1,09:46:38.946577,09:47:13.976557,-1,-1.0
1,09:46:38.946577,09:47:14.531668,1,-1.0
1,09:46:38.946577,09:47:15.080014,1,-1.0
1,09:46:38.946577,09:47:15.628394,1,-1.0
1,09:46:38.946577,09:47:16.180483,1,-1.0
1,09:46:38.946577,09:47:16.736891,1,-1.0
1,09:46:38.946577,09:47:17.290204,1,-1.0
1,09:46:38.946577,09:47:17.841118,1,-1.0
1,09:46:38.946577,09:47:18.394195,1,-1.0
1,09:46:38.946577,09:47:18.940563,1,-1.0
1,09:46:38.946577,09:47:19.482422,1,-1.0
1,09:46:38.946577,09:47:20.025858,1,-1.0
1,09:46:38.946577,09:47:20.570530,1,-1.0
1,09:46:38.946577,09:47:21.113472,1,-1.0
1,09:46:38.946577,09:47:21.657591,1,-1.0
1,09:46:38.946577,09:47:22.203573,1,-1.0
1,09:46:38.946577,09:47:22.753460,1,-1.0
1,09:46:38.946577,09:47:23.307467,1,-1.0
1,09:46:38.946577,09:47:23.851344,1,-1.0
1,09:46:38.946577,09:47:24.399422,1,-1.0
1,09:46:38.946577,09:47:24.950651,1,-1.0
1,09:46:38.946577,09:47:25.543864,1,-1.0
1,09:46:38.946577,09:47:26.097943,1,-1.0
1,09:46:38.946577,09:47:26.647362,1,-1.0
1,09:46:38.946577,09:47:28.182786,1,-1.0
1,09:46:38.946577,09:47:28.733251,1,-1.0
1,09:46:38.946577,09:47:29.281265,1,-1.0
1,09:46:38.946577,09:47:29.823161,1,-1.0
1,09:46:38.946577,09:47:30.366464,1,-1.0
1,09:46:38.946577,09:47:30.911166,1,-1.0
1,09:46:38.946577,09:47:31.456803,1,-1.0
1,09:46:38.946577,09:47:32.079047,1,-1.0
1,09:46:38.946577,09:47:33.465891,1,-1.0
1,09:46:38.946577,09:47:34.008286,1,-1.0
1,09:46:38.946577,09:47:35.390673,-1,-1.0
1,09:46:38.946577,09:47:36.116404,-1,-1.0
1,09:46:38.946577,09:47:37.514473,-1,-1.0
1,09:46:38.946577,09:47:38.067120,1,-1.0
1,09:46:38.946577,09:47:38.739208,1,-1.0
1,09:46:38.946577,09:47:39.292215,1,-1.0
1,09:46:38.946577,09:47:39.835290,1,-1.0
1,09:46:38.946577,09:47:40.378133,1,-1.0
1,09:46:38.946577,09:47:40.921942,1,-1.0
1,09:46:38.946577,09:47:41.470142,1,-1.0
1,09:46:38.946577,09:47:42.023237,1,-1.0
1,09:46:38.946577,09:47:42.570737,1,-1.0
1,09:46:38.946577,09:47:43.121629,1,-1.0
1,09:46:38.946577,09:47:43.674305,1,-1.0
1,09:46:38.946577,09:47:44.222302,1,-1.0
1,09:46:38.946577,09:47:44.771719,1,-1.0
1,09:46:38.946577,09:47:45.322274,1,-1.0
1,09:46:38.946577,09:47:45.875883,1,-1.0
1,09:46:38.946577,09:47:46.422537,1,-1.0
1,09:46:38.946577,09:47:46.978223,1,-1.0
1,09:46:38.946577,09:47:47.530606,1,-1.0
1,09:46:38.946577,09:47:48.081326,1,-1.0
1,09:46:38.946577,09:47:48.634864,1,-1.0
1,09:46:38.946577,09:47:49.181122,1,-1.0
1,09:46:38.946577,09:47:49.734773,1,-1.0
1,09:46:38.946577,09:47:50.278332,1,-1.0
1,09:46:38.946577,09:47:50.821599,1,-1.0
1,09:46:38.946577,09:47:51.365965,1,-1.0
1,09:46:38.946577,09:47:51.909119,1,-1.0
1,09:46:38.946577,09:47:52.456542,1,-1.0
1,09:46:38.946577,09:47:53.002293,1,-1.0
1,09:46:38.946577,09:47:53.548037,1,-1.0
1,09:46:38.946577,09:47:54.096715,1,-1.0
1,09:46:38.946577,09:47:54.644597,1,-1.0
1,09:46:38.946577,09:47:55.191510,1,-1.0
1,09:46:38.946577,09:47:55.744636,1,-1.0
1,09:46:38.946577,09:47:56.287271,1,-1.0
1,09:46:38.946577,09:47:56.839255,1,-1.0
1,09:46:38.946577,09:47:57.394599,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,09:47:57.422852,09:48:02.330273,1,-1.0
2,09:47:57.422852,09:48:02.883308,1,-1.0
2,09:47:57.422852,09:48:03.435588,1,-1.0
2,09:47:57.422852,09:48:03.991667,1,-1.0
2,09:47:57.422852,09:48:04.541423,1,-1.0
2,09:47:57.422852,09:48:05.127708,1,-1.0
2,09:47:57.422852,09:48:05.675968,1,-1.0
2,09:47:57.422852,09:48:06.224689,1,-1.0
2,09:47:57.422852,09:48:06.774551,1,-1.0
2,09:47:57.422852,09:48:07.327223,1,-1.0
2,09:47:57.422852,09:48:07.876185,1,-1.0
2,09:47:57.422852,09:48:08.432302,1,-1.0
2,09:47:57.422852,09:48:08.985565,1,-1.0
2,09:47:57.422852,09:48:09.534504,1,-1.0
2,09:47:57.422852,09:48:10.083662,1,-1.0
2,09:47:57.422852,09:48:10.628364,1,-1.0
2,09:47:57.422852,09:48:11.171551,1,-1.0
2,09:47:57.422852,09:48:11.713242,1,-1.0
2,09:47:57.422852,09:48:12.261903,1,-1.0
2,09:47:57.422852,09:48:12.811797,1,-1.0
2,09:47:57.422852,09:48:13.354318,1,-1.0
2,09:47:57.422852,09:48:13.901928,1,-1.0
2,09:47:57.422852,09:48:14.447290,1,-1.0
2,09:47:57.422852,09:48:14.994070,1,-1.0
2,09:47:57.422852,09:48:15.536971,1,-1.0
2,09:47:57.422852,09:48:16.081399,1,-1.0
2,09:47:57.422852,09:48:16.633742,1,-1.0
2,09:47:57.422852,09:48:17.188266,1,-1.0
2,09:47:57.422852,09:48:17.739128,1,-1.0
2,09:47:57.422852,09:48:18.284334,1,-1.0
2,09:47:57.422852,09:48:18.838353,1,-1.0
2,09:47:57.422852,09:48:19.392714,1,-1.0
2,09:47:57.422852,09:48:19.946784,1,-1.0
2,09:47:57.422852,09:48:20.498555,1,-1.0
2,09:47:57.422852,09:48:21.173982,-1,-1.0
2,09:47:57.422852,09:48:21.864311,-1,-1.0
2,09:47:57.422852,09:48:22.410340,-1,-1.0
2,09:47:57.422852,09:48:22.956977,1,-1.0
2,09:47:57.422852,09:48:23.500523,1,-1.0
2,09:47:57.422852,09:48:24.046713,1,-1.0
2,09:47:57.422852,09:48:24.592001,1,-1.0
2,09:47:57.422852,09:48:25.141571,1,-1.0
2,09:47:57.422852,09:48:25.691511,1,-1.0
2,09:47:57.422852,09:48:26.235732,1,-1.0
2,09:47:57.422852,09:48:26.786341,1,-1.0
2,09:47:57.422852,09:48:27.338422,1,-1.0
