Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:20:00.664901,14:20:01.943193,1,-1.0
1,14:20:00.664901,14:20:02.964383,1,-1.0
1,14:20:00.664901,14:20:03.362025,1,-1.0
1,14:20:00.664901,14:20:03.805265,-1,-1.0
1,14:20:00.664901,14:20:04.037146,-1,-1.0
1,14:20:00.664901,14:20:04.575190,-1,-1.0
1,14:20:00.664901,14:20:04.852907,-1,-1.0
1,14:20:00.664901,14:20:05.539585,-1,-1.0
1,14:20:00.664901,14:20:05.765878,1,-1.0
1,14:20:00.664901,14:20:05.983648,-1,-1.0
1,14:20:00.664901,14:20:06.230192,1,-1.0
1,14:20:00.664901,14:20:06.436953,1,-1.0
1,14:20:00.664901,14:20:06.668136,1,-1.0
1,14:20:00.664901,14:20:06.860094,1,-1.0
1,14:20:00.664901,14:20:07.349352,-1,-1.0
1,14:20:00.664901,14:20:07.578815,1,-1.0
1,14:20:00.664901,14:20:07.799281,1,-1.0
1,14:20:00.664901,14:20:07.987968,1,-1.0
1,14:20:00.664901,14:20:08.228538,1,-1.0
1,14:20:00.664901,14:20:08.470100,1,-1.0
1,14:20:00.664901,14:20:08.700212,1,-1.0
1,14:20:00.664901,14:20:09.185403,1,-1.0
1,14:20:00.664901,14:20:09.572758,1,-1.0
1,14:20:00.664901,14:20:09.833852,1,-1.0
1,14:20:00.664901,14:20:10.077006,1,-1.0
