Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,17:19:36.036042,17:19:38.110354,1,-1.0
1,17:19:36.036042,17:19:38.487195,1,-1.0
1,17:19:36.036042,17:19:38.743764,1,-1.0
1,17:19:36.036042,17:19:38.969750,1,-1.0
1,17:19:36.036042,17:19:39.250610,1,-1.0
1,17:19:36.036042,17:19:39.476488,1,-1.0
1,17:19:36.036042,17:19:39.784888,1,-1.0
1,17:19:36.036042,17:19:40.032006,1,-1.0
1,17:19:36.036042,17:19:40.269854,1,-1.0
1,17:19:36.036042,17:19:40.556420,1,-1.0
1,17:19:36.036042,17:19:40.781978,1,-1.0
1,17:19:36.036042,17:19:41.028880,1,-1.0
1,17:19:36.036042,17:19:41.274180,1,-1.0
1,17:19:36.036042,17:19:41.513831,1,-1.0
1,17:19:36.036042,17:19:41.775901,1,-1.0
1,17:19:36.036042,17:19:42.045070,1,-1.0
1,17:19:36.036042,17:19:42.279942,1,-1.0
1,17:19:36.036042,17:19:42.535846,1,-1.0
1,17:19:36.036042,17:19:42.778927,1,-1.0
1,17:19:36.036042,17:19:43.047239,1,-1.0
1,17:19:36.036042,17:19:43.272765,1,-1.0
1,17:19:36.036042,17:19:43.544178,1,-1.0
1,17:19:36.036042,17:19:43.769573,1,-1.0
1,17:19:36.036042,17:19:44.029033,1,-1.0
1,17:19:36.036042,17:19:44.257745,1,-1.0
1,17:19:36.036042,17:19:44.522487,1,-1.0
1,17:19:36.036042,17:19:44.791511,1,-1.0
1,17:19:36.036042,17:19:45.047766,1,-1.0
1,17:19:36.036042,17:19:45.299811,1,-1.0
1,17:19:36.036042,17:19:45.558962,1,-1.0
1,17:19:36.036042,17:19:45.805720,1,-1.0
1,17:19:36.036042,17:19:46.132002,1,-1.0
1,17:19:36.036042,17:19:46.398785,1,-1.0
1,17:19:36.036042,17:19:46.738853,1,-1.0
1,17:19:36.036042,17:19:47.116487,1,-1.0
1,17:19:36.036042,17:19:47.767156,-1,-1.0
1,17:19:36.036042,17:19:48.294355,-1,-1.0
1,17:19:36.036042,17:19:48.739369,-1,-1.0
1,17:19:36.036042,17:19:49.229591,-1,-1.0
1,17:19:36.036042,17:19:49.639706,-1,-1.0
1,17:19:36.036042,17:19:50.109298,-1,-1.0
1,17:19:36.036042,17:19:50.517449,-1,-1.0
1,17:19:36.036042,17:19:50.962572,-1,-1.0
1,17:19:36.036042,17:19:51.409610,-1,-1.0
1,17:19:36.036042,17:19:51.866824,-1,-1.0
1,17:19:36.036042,17:19:52.286000,-1,-1.0
1,17:19:36.036042,17:19:53.083130,-1,-1.0
1,17:19:36.036042,17:19:53.713024,1,-1.0
1,17:19:36.036042,17:19:54.095397,1,-1.0
1,17:19:36.036042,17:19:54.477348,1,-1.0
1,17:19:36.036042,17:19:54.881162,1,-1.0
1,17:19:36.036042,17:19:55.269887,1,-1.0
1,17:19:36.036042,17:19:55.646838,1,-1.0
1,17:19:36.036042,17:19:55.980748,1,-1.0
1,17:19:36.036042,17:19:56.379537,1,-1.0
1,17:19:36.036042,17:19:56.720230,1,-1.0
1,17:19:36.036042,17:19:57.108037,1,-1.0
1,17:19:36.036042,17:19:57.448528,1,-1.0
1,17:19:36.036042,17:19:57.824301,1,-1.0
1,17:19:36.036042,17:19:58.199307,1,-1.0
1,17:19:36.036042,17:19:58.519481,1,-1.0
1,17:19:36.036042,17:19:58.859038,1,-1.0
1,17:19:36.036042,17:19:59.184864,1,-1.0
1,17:19:36.036042,17:19:59.503314,1,-1.0
1,17:19:36.036042,17:19:59.823819,1,-1.0
1,17:19:36.036042,17:20:00.210395,1,-1.0
1,17:19:36.036042,17:20:00.599693,1,-1.0
1,17:19:36.036042,17:20:01.002490,1,-1.0
1,17:19:36.036042,17:20:01.404614,1,-1.0
1,17:19:36.036042,17:20:01.778643,-1,-1.0
1,17:19:36.036042,17:20:02.342300,-1,-1.0
1,17:19:36.036042,17:20:02.870901,-1,-1.0
1,17:19:36.036042,17:20:03.348575,-1,-1.0
1,17:19:36.036042,17:20:03.831969,-1,-1.0
1,17:19:36.036042,17:20:04.383898,1,-1.0
1,17:19:36.036042,17:20:04.854729,1,-1.0
1,17:19:36.036042,17:20:05.359388,1,-1.0
1,17:19:36.036042,17:20:05.777638,1,-1.0
1,17:19:36.036042,17:20:06.257028,1,-1.0
1,17:19:36.036042,17:20:06.824224,1,-1.0
1,17:19:36.036042,17:20:07.402295,1,-1.0
1,17:19:36.036042,17:20:08.039787,1,-1.0
1,17:19:36.036042,17:20:08.646703,1,-1.0
1,17:19:36.036042,17:20:09.319257,1,-1.0
1,17:19:36.036042,17:20:10.121718,1,-1.0
1,17:19:36.036042,17:20:10.836580,1,-1.0
1,17:19:36.036042,17:20:12.187167,-1,-1.0
1,17:19:36.036042,17:20:13.082536,1,-1.0
1,17:19:36.036042,17:20:13.715572,1,-1.0
1,17:19:36.036042,17:20:14.359823,1,-1.0
1,17:19:36.036042,17:20:15.007768,1,-1.0
1,17:19:36.036042,17:20:15.558543,1,-1.0
1,17:19:36.036042,17:20:16.127942,1,-1.0
1,17:19:36.036042,17:20:16.762273,1,-1.0
1,17:19:36.036042,17:20:17.420732,1,-1.0
1,17:19:36.036042,17:20:18.094716,1,-1.0
1,17:19:36.036042,17:20:18.809667,1,-1.0
1,17:19:36.036042,17:20:19.407225,1,-1.0
1,17:19:36.036042,17:20:20.073123,1,-1.0
1,17:19:36.036042,17:20:20.725602,1,-1.0
1,17:19:36.036042,17:20:21.379448,1,-1.0
1,17:19:36.036042,17:20:22.008599,1,-1.0
1,17:19:36.036042,17:20:22.724818,1,-1.0
1,17:19:36.036042,17:20:23.367448,1,-1.0
1,17:19:36.036042,17:20:24.134790,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,17:20:24.145820,17:20:27.917637,1,-1.0
2,17:20:24.145820,17:20:28.457967,1,-1.0
2,17:20:24.145820,17:20:28.941113,1,-1.0
2,17:20:24.145820,17:20:29.392193,1,-1.0
2,17:20:24.145820,17:20:29.869527,1,-1.0
2,17:20:24.145820,17:20:30.350920,1,-1.0
2,17:20:24.145820,17:20:30.791916,1,-1.0
2,17:20:24.145820,17:20:31.266560,1,-1.0
2,17:20:24.145820,17:20:31.748503,1,-1.0
2,17:20:24.145820,17:20:32.302334,1,-1.0
2,17:20:24.145820,17:20:32.792547,1,-1.0
2,17:20:24.145820,17:20:33.316989,1,-1.0
2,17:20:24.145820,17:20:33.823035,1,-1.0
2,17:20:24.145820,17:20:34.349516,1,-1.0
2,17:20:24.145820,17:20:35.075299,-1,-1.0
2,17:20:24.145820,17:20:35.700410,-1,-1.0
2,17:20:24.145820,17:20:36.218223,-1,-1.0
2,17:20:24.145820,17:20:36.788477,-1,-1.0
2,17:20:24.145820,17:20:37.349063,-1,-1.0
2,17:20:24.145820,17:20:38.063505,1,-1.0
2,17:20:24.145820,17:20:38.584170,1,-1.0
2,17:20:24.145820,17:20:39.104304,1,-1.0
2,17:20:24.145820,17:20:39.669427,1,-1.0
