Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:45:08.395732,14:45:09.903245,1,-1.0
1,14:45:08.395732,14:45:10.314471,1,-1.0
1,14:45:08.395732,14:45:10.621548,1,-1.0
1,14:45:08.395732,14:45:11.022051,1,-1.0
1,14:45:08.395732,14:45:13.533562,-1,-1.0
1,14:45:08.395732,14:45:14.500545,-1,-1.0
1,14:45:08.395732,14:45:14.729603,-1,-1.0
1,14:45:08.395732,14:45:15.085735,-1,-1.0
1,14:45:08.395732,14:45:15.443618,1,-1.0
1,14:45:08.395732,14:45:15.765243,-1,-1.0
1,14:45:08.395732,14:45:15.974422,1,-1.0
1,14:45:08.395732,14:45:16.191061,-1,-1.0
