Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:43:13.002972,16:43:19.400002,1,-1.0
1,16:43:13.002972,16:43:20.001900,1,-1.0
1,16:43:13.002972,16:43:20.533609,1,-1.0
1,16:43:13.002972,16:43:21.306258,1,-1.0
1,16:43:13.002972,16:43:21.879441,1,-1.0
1,16:43:13.002972,16:43:22.427267,1,-1.0
1,16:43:13.002972,16:43:23.103395,1,-1.0
1,16:43:13.002972,16:43:23.655860,1,-1.0
1,16:43:13.002972,16:43:24.119595,1,-1.0
1,16:43:13.002972,16:43:24.685912,1,-1.0
1,16:43:13.002972,16:43:25.410219,1,-1.0
1,16:43:13.002972,16:43:26.077910,1,-1.0
1,16:43:13.002972,16:43:26.869835,1,-1.0
1,16:43:13.002972,16:43:28.219640,1,-1.0
1,16:43:13.002972,16:43:28.755101,-1,-1.0
1,16:43:13.002972,16:43:29.219242,-1,-1.0
1,16:43:13.002972,16:43:29.601052,-1,-1.0
1,16:43:13.002972,16:43:29.993375,-1,-1.0
1,16:43:13.002972,16:43:30.377079,-1,-1.0
1,16:43:13.002972,16:43:30.705475,-1,-1.0
1,16:43:13.002972,16:43:31.126395,-1,-1.0
1,16:43:13.002972,16:43:32.214182,1,-1.0
1,16:43:13.002972,16:43:32.459044,1,-1.0
1,16:43:13.002972,16:43:32.853792,1,-1.0
1,16:43:13.002972,16:43:33.165156,1,-1.0
1,16:43:13.002972,16:43:33.452276,1,-1.0
1,16:43:13.002972,16:43:33.780712,1,-1.0
1,16:43:13.002972,16:43:34.116541,1,-1.0
1,16:43:13.002972,16:43:34.495084,1,-1.0
1,16:43:13.002972,16:43:34.875135,1,-1.0
1,16:43:13.002972,16:43:35.252372,1,-1.0
1,16:43:13.002972,16:43:35.589649,1,-1.0
1,16:43:13.002972,16:43:36.033764,1,-1.0
1,16:43:13.002972,16:43:36.464936,1,-1.0
1,16:43:13.002972,16:43:36.869576,1,-1.0
1,16:43:13.002972,16:43:37.273586,1,-1.0
1,16:43:13.002972,16:43:37.663219,1,-1.0
1,16:43:13.002972,16:43:38.300556,1,-1.0
1,16:43:13.002972,16:43:39.025580,1,-1.0
1,16:43:13.002972,16:43:40.328600,-1,-1.0
1,16:43:13.002972,16:43:41.059782,-1,-1.0
1,16:43:13.002972,16:43:41.492035,-1,-1.0
1,16:43:13.002972,16:43:42.159491,-1,-1.0
1,16:43:13.002972,16:43:42.722725,-1,-1.0
1,16:43:13.002972,16:43:43.304746,1,-1.0
1,16:43:13.002972,16:43:43.615246,1,-1.0
1,16:43:13.002972,16:43:43.998911,1,-1.0
1,16:43:13.002972,16:43:44.268532,1,-1.0
1,16:43:13.002972,16:43:44.590509,1,-1.0
1,16:43:13.002972,16:43:44.903711,1,-1.0
1,16:43:13.002972,16:43:45.242048,1,-1.0
1,16:43:13.002972,16:43:45.551517,1,-1.0
1,16:43:13.002972,16:43:45.933720,1,-1.0
1,16:43:13.002972,16:43:46.231168,1,-1.0
1,16:43:13.002972,16:43:46.526543,1,-1.0
1,16:43:13.002972,16:43:46.844432,1,-1.0
1,16:43:13.002972,16:43:47.163766,1,-1.0
1,16:43:13.002972,16:43:47.465471,1,-1.0
1,16:43:13.002972,16:43:47.806490,1,-1.0
1,16:43:13.002972,16:43:48.142717,1,-1.0
1,16:43:13.002972,16:43:48.536579,1,-1.0
1,16:43:13.002972,16:43:48.841774,1,-1.0
1,16:43:13.002972,16:43:49.230428,1,-1.0
1,16:43:13.002972,16:43:49.464278,-1,-1.0
1,16:43:13.002972,16:43:53.913178,-1,-1.0
1,16:43:13.002972,16:43:54.327185,-1,-1.0
1,16:43:13.002972,16:43:54.775781,-1,-1.0
1,16:43:13.002972,16:43:55.118028,1,-1.0
1,16:43:13.002972,16:43:55.611805,-1,-1.0
1,16:43:13.002972,16:43:56.172746,1,-1.0
1,16:43:13.002972,16:43:56.421055,1,-1.0
1,16:43:13.002972,16:43:56.711141,1,-1.0
1,16:43:13.002972,16:43:56.918249,1,-1.0
1,16:43:13.002972,16:43:57.158640,1,-1.0
1,16:43:13.002972,16:43:57.372984,1,-1.0
1,16:43:13.002972,16:43:57.571621,1,-1.0
1,16:43:13.002972,16:43:57.759544,1,-1.0
1,16:43:13.002972,16:43:57.971239,1,-1.0
1,16:43:13.002972,16:43:58.212069,1,-1.0
1,16:43:13.002972,16:43:58.392676,1,-1.0
1,16:43:13.002972,16:43:58.591827,1,-1.0
1,16:43:13.002972,16:43:58.820801,1,-1.0
1,16:43:13.002972,16:43:59.041193,1,-1.0
1,16:43:13.002972,16:43:59.267950,1,-1.0
1,16:43:13.002972,16:43:59.504210,1,-1.0
1,16:43:13.002972,16:43:59.753721,1,-1.0
1,16:43:13.002972,16:44:00.021634,1,-1.0
1,16:43:13.002972,16:44:00.310623,1,-1.0
1,16:43:13.002972,16:44:00.604856,1,-1.0
1,16:43:13.002972,16:44:01.107929,1,-1.0
1,16:43:13.002972,16:44:01.486937,1,-1.0
1,16:43:13.002972,16:44:01.890689,1,-1.0
1,16:43:13.002972,16:44:03.094526,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,16:44:03.446471,16:44:06.054517,1,-1.0
2,16:44:03.446471,16:44:06.497218,1,-1.0
2,16:44:03.446471,16:44:06.917238,1,-1.0
2,16:44:03.446471,16:44:07.440642,1,-1.0
2,16:44:03.446471,16:44:07.862734,1,-1.0
2,16:44:03.446471,16:44:08.250835,1,-1.0
2,16:44:03.446471,16:44:08.589589,1,-1.0
2,16:44:03.446471,16:44:09.014156,1,-1.0
2,16:44:03.446471,16:44:09.394705,1,-1.0
2,16:44:03.446471,16:44:09.815355,1,-1.0
2,16:44:03.446471,16:44:10.231522,1,-1.0
2,16:44:03.446471,16:44:10.620977,1,-1.0
2,16:44:03.446471,16:44:10.959851,1,-1.0
2,16:44:03.446471,16:44:11.351842,1,-1.0
2,16:44:03.446471,16:44:11.649346,1,-1.0
2,16:44:03.446471,16:44:11.934553,1,-1.0
2,16:44:03.446471,16:44:12.202868,1,-1.0
2,16:44:03.446471,16:44:12.588740,1,-1.0
2,16:44:03.446471,16:44:12.973178,1,-1.0
2,16:44:03.446471,16:44:13.512773,1,-1.0
2,16:44:03.446471,16:44:14.065897,-1,-1.0
2,16:44:03.446471,16:44:14.486068,-1,-1.0
2,16:44:03.446471,16:44:14.824183,-1,-1.0
2,16:44:03.446471,16:44:15.159541,-1,-1.0
2,16:44:03.446471,16:44:15.438645,-1,-1.0
2,16:44:03.446471,16:44:15.703883,1,-1.0
2,16:44:03.446471,16:44:16.205875,-1,-1.0
2,16:44:03.446471,16:44:16.709227,1,-1.0
2,16:44:03.446471,16:44:16.953878,1,-1.0
2,16:44:03.446471,16:44:17.168302,1,-1.0
2,16:44:03.446471,16:44:17.487193,1,-1.0
2,16:44:03.446471,16:44:17.782797,1,-1.0
2,16:44:03.446471,16:44:18.097212,1,-1.0
2,16:44:03.446471,16:44:18.415123,1,-1.0
2,16:44:03.446471,16:44:18.725237,1,-1.0
2,16:44:03.446471,16:44:19.058853,1,-1.0
2,16:44:03.446471,16:44:19.366350,1,-1.0
2,16:44:03.446471,16:44:19.644370,1,-1.0
2,16:44:03.446471,16:44:19.962508,1,-1.0
2,16:44:03.446471,16:44:20.245124,1,-1.0
2,16:44:03.446471,16:44:20.513303,1,-1.0
2,16:44:03.446471,16:44:20.823582,1,-1.0
2,16:44:03.446471,16:44:21.144670,1,-1.0
2,16:44:03.446471,16:44:21.468777,1,-1.0
2,16:44:03.446471,16:44:21.769827,1,-1.0
2,16:44:03.446471,16:44:22.058424,1,-1.0
2,16:44:03.446471,16:44:22.377695,1,-1.0
2,16:44:03.446471,16:44:22.719817,1,-1.0
2,16:44:03.446471,16:44:23.030459,1,-1.0
2,16:44:03.446471,16:44:23.413004,1,-1.0
2,16:44:03.446471,16:44:24.133425,1,-1.0
2,16:44:03.446471,16:44:27.240215,-1,-1.0
2,16:44:03.446471,16:44:27.636075,-1,-1.0
2,16:44:03.446471,16:44:28.199429,1,-1.0
2,16:44:03.446471,16:44:28.518922,1,-1.0
2,16:44:03.446471,16:44:28.805517,1,-1.0
2,16:44:03.446471,16:44:29.090306,1,-1.0
2,16:44:03.446471,16:44:29.390100,1,-1.0
2,16:44:03.446471,16:44:29.679172,1,-1.0
2,16:44:03.446471,16:44:29.983980,1,-1.0
2,16:44:03.446471,16:44:30.279801,1,-1.0
2,16:44:03.446471,16:44:30.575821,1,-1.0
2,16:44:03.446471,16:44:30.877230,1,-1.0
2,16:44:03.446471,16:44:31.175756,1,-1.0
2,16:44:03.446471,16:44:31.504158,1,-1.0
2,16:44:03.446471,16:44:31.833154,1,-1.0
2,16:44:03.446471,16:44:32.149422,1,-1.0
2,16:44:03.446471,16:44:32.469819,1,-1.0
2,16:44:03.446471,16:44:32.786914,1,-1.0
2,16:44:03.446471,16:44:33.089962,1,-1.0
2,16:44:03.446471,16:44:33.390316,1,-1.0
