Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:13:00.002258,11:13:08.930637,1,-1.0
1,11:13:00.002258,11:13:10.369561,1,-1.0
1,11:13:00.002258,11:13:11.754408,1,-1.0
1,11:13:00.002258,11:13:12.297745,1,-1.0
1,11:13:00.002258,11:13:12.843392,1,-1.0
1,11:13:00.002258,11:13:13.388479,1,-1.0
1,11:13:00.002258,11:13:13.938382,1,-1.0
1,11:13:00.002258,11:13:14.484314,1,-1.0
1,11:13:00.002258,11:13:15.033389,1,-1.0
1,11:13:00.002258,11:13:15.579439,1,-1.0
1,11:13:00.002258,11:13:16.125785,1,-1.0
1,11:13:00.002258,11:13:16.669612,1,-1.0
1,11:13:00.002258,11:13:17.210441,1,-1.0
1,11:13:00.002258,11:13:17.753835,1,-1.0
1,11:13:00.002258,11:13:18.295331,1,-1.0
1,11:13:00.002258,11:13:18.921374,1,-1.0
1,11:13:00.002258,11:13:19.590200,1,-1.0
1,11:13:00.002258,11:13:20.132357,1,-1.0
1,11:13:00.002258,11:13:20.677025,1,-1.0
1,11:13:00.002258,11:13:21.221369,1,-1.0
1,11:13:00.002258,11:13:21.764371,1,-1.0
1,11:13:00.002258,11:13:22.308469,1,-1.0
1,11:13:00.002258,11:13:22.854302,1,-1.0
1,11:13:00.002258,11:13:23.398625,1,-1.0
1,11:13:00.002258,11:13:23.944659,1,-1.0
1,11:13:00.002258,11:13:24.488509,1,-1.0
1,11:13:00.002258,11:13:25.031418,1,-1.0
1,11:13:00.002258,11:13:25.576674,1,-1.0
1,11:13:00.002258,11:13:26.120407,1,-1.0
1,11:13:00.002258,11:13:26.665483,1,-1.0
1,11:13:00.002258,11:13:27.210423,1,-1.0
1,11:13:00.002258,11:13:27.757326,1,-1.0
1,11:13:00.002258,11:13:28.300960,1,-1.0
1,11:13:00.002258,11:13:32.196546,-1,-1.0
1,11:13:00.002258,11:13:32.743105,-1,-1.0
1,11:13:00.002258,11:13:33.287353,-1,-1.0
1,11:13:00.002258,11:13:33.833737,-1,-1.0
1,11:13:00.002258,11:13:34.378985,-1,-1.0
1,11:13:00.002258,11:13:34.926507,-1,-1.0
1,11:13:00.002258,11:13:35.474279,-1,-1.0
1,11:13:00.002258,11:13:36.019520,-1,-1.0
1,11:13:00.002258,11:13:36.564706,-1,-1.0
1,11:13:00.002258,11:13:37.948174,-1,-1.0
1,11:13:00.002258,11:13:39.327172,-1,-1.0
1,11:13:00.002258,11:13:39.868793,1,-1.0
1,11:13:00.002258,11:13:41.250271,1,-1.0
1,11:13:00.002258,11:13:41.793700,1,-1.0
1,11:13:00.002258,11:13:42.579115,1,-1.0
1,11:13:00.002258,11:13:43.240332,1,-1.0
1,11:13:00.002258,11:13:43.956272,1,-1.0
1,11:13:00.002258,11:13:44.631717,1,-1.0
1,11:13:00.002258,11:13:45.324317,1,-1.0
1,11:13:00.002258,11:13:45.983352,1,-1.0
1,11:13:00.002258,11:13:46.665452,1,-1.0
1,11:13:00.002258,11:13:47.365321,1,-1.0
1,11:13:00.002258,11:13:48.034835,1,-1.0
1,11:13:00.002258,11:13:48.630149,1,-1.0
1,11:13:00.002258,11:13:49.173670,1,-1.0
1,11:13:00.002258,11:13:49.716004,1,-1.0
1,11:13:00.002258,11:13:50.258734,1,-1.0
1,11:13:00.002258,11:13:50.803400,1,-1.0
1,11:13:00.002258,11:13:51.346183,1,-1.0
1,11:13:00.002258,11:13:51.891421,1,-1.0
1,11:13:00.002258,11:13:52.440548,1,-1.0
1,11:13:00.002258,11:13:52.983543,1,-1.0
1,11:13:00.002258,11:13:53.528980,1,-1.0
1,11:13:00.002258,11:13:54.071572,1,-1.0
1,11:13:00.002258,11:13:54.618507,1,-1.0
1,11:13:00.002258,11:13:55.164738,1,-1.0
1,11:13:00.002258,11:13:55.709580,1,-1.0
1,11:13:00.002258,11:13:56.256217,1,-1.0
1,11:13:00.002258,11:13:56.801284,1,-1.0
1,11:13:00.002258,11:13:57.397347,1,-1.0
1,11:13:00.002258,11:13:58.781085,1,-1.0
1,11:13:00.002258,11:14:00.419535,-1,-1.0
1,11:13:00.002258,11:14:01.808816,1,-1.0
1,11:13:00.002258,11:14:02.353350,1,-1.0
1,11:13:00.002258,11:14:02.897766,1,-1.0
1,11:13:00.002258,11:14:03.638313,1,-1.0
1,11:13:00.002258,11:14:04.320322,1,-1.0
1,11:13:00.002258,11:14:04.861719,-1,-1.0
1,11:13:00.002258,11:14:05.407952,-1,-1.0
1,11:13:00.002258,11:14:05.953354,-1,-1.0
1,11:13:00.002258,11:14:06.499555,-1,-1.0
1,11:13:00.002258,11:14:07.041324,-1,-1.0
1,11:13:00.002258,11:14:07.586336,-1,-1.0
1,11:13:00.002258,11:14:08.128915,1,-1.0
1,11:13:00.002258,11:14:08.671338,1,-1.0
1,11:13:00.002258,11:14:09.214646,1,-1.0
1,11:13:00.002258,11:14:09.757804,1,-1.0
1,11:13:00.002258,11:14:10.299315,1,-1.0
1,11:13:00.002258,11:14:10.842773,1,-1.0
1,11:13:00.002258,11:14:11.491482,1,-1.0
1,11:13:00.002258,11:14:12.037812,1,-1.0
1,11:13:00.002258,11:14:12.583862,1,-1.0
1,11:13:00.002258,11:14:13.129832,1,-1.0
1,11:13:00.002258,11:14:13.674148,1,-1.0
1,11:13:00.002258,11:14:14.220253,1,-1.0
1,11:13:00.002258,11:14:14.766739,1,-1.0
1,11:13:00.002258,11:14:15.310906,1,-1.0
1,11:13:00.002258,11:14:15.852326,1,-1.0
1,11:13:00.002258,11:14:16.396798,1,-1.0
1,11:13:00.002258,11:14:16.941276,1,-1.0
1,11:13:00.002258,11:14:17.487809,1,-1.0
1,11:13:00.002258,11:14:18.031357,1,-1.0
1,11:13:00.002258,11:14:18.577127,1,-1.0
1,11:13:00.002258,11:14:19.123874,1,-1.0
1,11:13:00.002258,11:14:19.668737,1,-1.0
1,11:13:00.002258,11:14:20.213495,1,-1.0
1,11:13:00.002258,11:14:20.756862,1,-1.0
1,11:13:00.002258,11:14:21.301681,1,-1.0
1,11:13:00.002258,11:14:21.844661,1,-1.0
1,11:13:00.002258,11:14:22.388648,1,-1.0
1,11:13:00.002258,11:14:22.987473,1,-1.0
1,11:13:00.002258,11:14:23.595019,1,-1.0
1,11:13:00.002258,11:14:24.239520,1,-1.0
1,11:13:00.002258,11:14:24.879843,1,-1.0
1,11:13:00.002258,11:14:25.568146,1,-1.0
1,11:13:00.002258,11:14:26.186963,1,-1.0
1,11:13:00.002258,11:14:26.858978,1,-1.0
1,11:13:00.002258,11:14:27.519720,1,-1.0
1,11:13:00.002258,11:14:28.173736,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,11:14:28.188734,11:14:32.086120,1,-1.0
2,11:14:28.188734,11:14:32.628131,1,-1.0
2,11:14:28.188734,11:14:33.170423,1,-1.0
2,11:14:28.188734,11:14:33.712487,1,-1.0
2,11:14:28.188734,11:14:34.256532,1,-1.0
2,11:14:28.188734,11:14:34.803559,1,-1.0
2,11:14:28.188734,11:14:35.347339,1,-1.0
2,11:14:28.188734,11:14:35.892591,1,-1.0
2,11:14:28.188734,11:14:36.439113,1,-1.0
2,11:14:28.188734,11:14:36.983382,1,-1.0
2,11:14:28.188734,11:14:37.529132,1,-1.0
2,11:14:28.188734,11:14:38.073361,1,-1.0
2,11:14:28.188734,11:14:38.619058,1,-1.0
2,11:14:28.188734,11:14:39.166540,1,-1.0
2,11:14:28.188734,11:14:39.712607,1,-1.0
2,11:14:28.188734,11:14:40.254214,1,-1.0
2,11:14:28.188734,11:14:40.795813,1,-1.0
2,11:14:28.188734,11:14:41.338215,1,-1.0
2,11:14:28.188734,11:14:41.880878,1,-1.0
2,11:14:28.188734,11:14:42.423651,1,-1.0
2,11:14:28.188734,11:14:42.967452,1,-1.0
2,11:14:28.188734,11:14:43.511564,1,-1.0
2,11:14:28.188734,11:14:44.053772,1,-1.0
2,11:14:28.188734,11:14:44.598075,1,-1.0
2,11:14:28.188734,11:14:45.980718,1,-1.0
2,11:14:28.188734,11:14:46.524945,1,-1.0
2,11:14:28.188734,11:14:47.071548,1,-1.0
2,11:14:28.188734,11:14:47.618898,1,-1.0
2,11:14:28.188734,11:14:48.165514,1,-1.0
2,11:14:28.188734,11:14:48.743685,1,-1.0
2,11:14:28.188734,11:14:49.288564,1,-1.0
2,11:14:28.188734,11:14:49.833100,1,-1.0
2,11:14:28.188734,11:14:50.374890,1,-1.0
2,11:14:28.188734,11:14:50.949069,1,-1.0
2,11:14:28.188734,11:14:51.491602,1,-1.0
2,11:14:28.188734,11:14:52.874360,-1,-1.0
2,11:14:28.188734,11:14:53.418607,-1,-1.0
2,11:14:28.188734,11:14:53.963666,-1,-1.0
2,11:14:28.188734,11:14:54.505554,-1,-1.0
2,11:14:28.188734,11:14:55.887438,1,-1.0
2,11:14:28.188734,11:14:56.433281,1,-1.0
2,11:14:28.188734,11:14:56.977054,1,-1.0
2,11:14:28.188734,11:14:57.524431,1,-1.0
2,11:14:28.188734,11:14:58.067602,1,-1.0
2,11:14:28.188734,11:14:58.613751,1,-1.0
2,11:14:28.188734,11:14:59.157598,1,-1.0
2,11:14:28.188734,11:14:59.702660,1,-1.0
2,11:14:28.188734,11:15:00.321684,1,-1.0
2,11:14:28.188734,11:15:00.864437,1,-1.0
2,11:14:28.188734,11:15:01.406945,1,-1.0
2,11:14:28.188734,11:15:01.948164,1,-1.0
2,11:14:28.188734,11:15:02.490082,1,-1.0
2,11:14:28.188734,11:15:04.714948,1,-1.0
2,11:14:28.188734,11:15:05.416078,1,-1.0
