Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,10:02:06.878993,,1,-1.0
1,10:02:07.433350,,1,-1.0
1,10:02:07.984711,,1,-1.0
1,10:02:08.534860,,1,-1.0
1,10:02:09.088309,,1,-1.0
1,10:02:09.636460,,1,-1.0
1,10:02:10.178065,,1,-1.0
1,10:02:10.722793,,1,-1.0
1,10:02:11.270860,,1,-1.0
1,10:02:11.814587,,1,-1.0
1,10:02:12.362718,,1,-1.0
1,10:02:12.909029,,1,-1.0
1,10:02:13.454123,,1,-1.0
1,10:02:14.003085,,1,-1.0
1,10:02:14.549321,,1,-1.0
1,10:02:15.091460,,1,-1.0
1,10:02:15.637793,,1,-1.0
1,10:02:16.183010,,1,-1.0
1,10:02:16.734762,,1,-1.0
1,10:02:17.289330,,1,-1.0
1,10:02:17.841495,,1,-1.0
1,10:02:18.396706,,1,-1.0
1,10:02:18.947094,,1,-1.0
1,10:02:19.500799,,1,-1.0
1,10:02:20.047897,,1,-1.0
1,10:02:20.590114,,1,-1.0
1,10:02:21.132495,,1,-1.0
1,10:02:21.677999,,1,-1.0
1,10:02:22.223151,,1,-1.0
1,10:02:22.767877,,1,-1.0
1,10:02:23.313877,,1,-1.0
1,10:02:23.856489,,1,-1.0
1,10:02:24.402005,,1,-1.0
1,10:02:24.949210,,1,-1.0
1,10:02:25.495284,,1,-1.0
1,10:02:27.737128,,-1,-1.0
1,10:02:29.980725,,-1,-1.0
1,10:02:30.560885,,-1,-1.0
1,10:02:31.945805,,-1,-1.0
1,10:02:32.491098,,-1,-1.0
1,10:02:33.885283,,-1,-1.0
1,10:02:34.435143,,-1,-1.0
1,10:02:35.059040,,-1,-1.0
1,10:02:35.667574,,1,-1.0
1,10:02:36.215622,,1,-1.0
1,10:02:36.765947,,1,-1.0
1,10:02:37.318850,,1,-1.0
1,10:02:37.871960,,1,-1.0
1,10:02:38.426704,,1,-1.0
1,10:02:38.979681,,1,-1.0
1,10:02:39.529434,,1,-1.0
1,10:02:40.083880,,1,-1.0
1,10:02:40.637925,,1,-1.0
1,10:02:41.179175,,1,-1.0
1,10:02:41.733927,,1,-1.0
1,10:02:42.287144,,1,-1.0
1,10:02:42.844024,,1,-1.0
1,10:02:43.395272,,1,-1.0
1,10:02:43.946272,,1,-1.0
1,10:02:44.499976,,1,-1.0
1,10:02:45.052706,,1,-1.0
1,10:02:45.607630,,1,-1.0
1,10:02:46.157274,,1,-1.0
1,10:02:46.710240,,1,-1.0
1,10:02:47.262931,,1,-1.0
1,10:02:47.818887,,1,-1.0
1,10:02:48.372889,,1,-1.0
1,10:02:48.920947,,1,-1.0
1,10:02:49.475065,,1,-1.0
1,10:02:50.029155,,1,-1.0
1,10:02:50.581218,,1,-1.0
1,10:02:51.131811,,1,-1.0
1,10:02:51.673820,,1,-1.0
1,10:02:52.216734,,1,-1.0
1,10:02:52.765169,,1,-1.0
1,10:02:53.362961,,1,-1.0
1,10:02:54.014585,,1,-1.0
1,10:02:54.562110,,1,-1.0
1,10:02:55.107936,,1,-1.0
1,10:02:55.665828,,1,-1.0
1,10:02:57.065429,,1,-1.0
1,10:02:57.617904,,1,-1.0
1,10:02:58.165939,,1,-1.0
1,10:02:58.799159,,1,-1.0
1,10:03:00.202617,,1,-1.0
1,10:03:00.755805,,1,-1.0
1,10:03:01.369747,,-1,-1.0
1,10:03:01.913286,,-1,-1.0
1,10:03:02.456682,,-1,-1.0
1,10:03:03.006158,,-1,-1.0
1,10:03:03.549734,,-1,-1.0
1,10:03:04.093326,,-1,-1.0
1,10:03:04.635413,,-1,-1.0
1,10:03:05.178325,,1,-1.0
1,10:03:05.748949,,-1,-1.0
1,10:03:07.133709,,1,-1.0
1,10:03:07.685106,,1,-1.0
1,10:03:08.231102,,1,-1.0
1,10:03:08.784836,,1,-1.0
1,10:03:09.336163,,1,-1.0
1,10:03:09.888139,,1,-1.0
1,10:03:10.443954,,1,-1.0
1,10:03:10.998139,,1,-1.0
1,10:03:11.571919,,1,-1.0
1,10:03:12.117207,,1,-1.0
1,10:03:12.659294,,1,-1.0
1,10:03:13.203967,,1,-1.0
1,10:03:13.748264,,1,-1.0
1,10:03:14.294100,,1,-1.0
1,10:03:14.838275,,1,-1.0
1,10:03:15.385628,,1,-1.0
1,10:03:15.931929,,1,-1.0
1,10:03:16.479527,,1,-1.0
1,10:03:17.026546,,1,-1.0
1,10:03:17.574175,,1,-1.0
1,10:03:18.127838,,1,-1.0
1,10:03:18.680896,,1,-1.0
1,10:03:19.236226,,1,-1.0
1,10:03:19.787749,,1,-1.0
1,10:03:20.341839,,1,-1.0
1,10:03:20.894817,,1,-1.0
1,10:03:21.445856,,1,-1.0
1,10:03:21.999187,,1,-1.0
1,10:03:22.542690,,1,-1.0
1,10:03:23.085965,,1,-1.0
1,10:03:23.632076,,1,-1.0
1,10:03:24.177888,,1,-1.0
1,10:03:24.724678,,1,-1.0
1,10:03:25.272904,,1,-1.0
1,10:03:25.814869,,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,10:03:28.047148,,1,-1.0
2,10:03:28.594918,,1,-1.0
2,10:03:29.143357,,1,-1.0
2,10:03:29.687792,,1,-1.0
2,10:03:30.240265,,1,-1.0
2,10:03:30.793019,,1,-1.0
2,10:03:31.345367,,1,-1.0
2,10:03:31.894823,,1,-1.0
2,10:03:32.444447,,1,-1.0
2,10:03:32.995081,,1,-1.0
2,10:03:33.547012,,1,-1.0
2,10:03:34.100922,,1,-1.0
2,10:03:34.653338,,1,-1.0
2,10:03:35.203114,,1,-1.0
2,10:03:35.747908,,1,-1.0
2,10:03:36.304692,,1,-1.0
2,10:03:36.856923,,1,-1.0
2,10:03:37.408948,,1,-1.0
2,10:03:37.959834,,1,-1.0
2,10:03:38.514546,,1,-1.0
2,10:03:39.063989,,1,-1.0
2,10:03:39.613979,,1,-1.0
2,10:03:40.163874,,1,-1.0
