Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:48:27.287405,16:48:29.078375,1,-1.0
1,16:48:27.287405,16:48:29.685001,1,-1.0
1,16:48:27.287405,16:48:29.981582,1,-1.0
1,16:48:27.287405,16:48:30.388267,1,-1.0
1,16:48:27.287405,16:48:30.775702,1,-1.0
1,16:48:27.287405,16:48:31.164529,1,-1.0
1,16:48:27.287405,16:48:31.470391,1,-1.0
1,16:48:27.287405,16:48:31.871069,1,-1.0
1,16:48:27.287405,16:48:32.199307,1,-1.0
1,16:48:27.287405,16:48:32.597691,1,-1.0
1,16:48:27.287405,16:48:32.922159,1,-1.0
1,16:48:27.287405,16:48:33.253897,1,-1.0
1,16:48:27.287405,16:48:33.649006,1,-1.0
1,16:48:27.287405,16:48:33.967101,1,-1.0
1,16:48:27.287405,16:48:34.290132,1,-1.0
1,16:48:27.287405,16:48:34.672749,1,-1.0
1,16:48:27.287405,16:48:35.003898,1,-1.0
1,16:48:27.287405,16:48:35.345615,1,-1.0
1,16:48:27.287405,16:48:35.655596,1,-1.0
1,16:48:27.287405,16:48:35.974882,1,-1.0
1,16:48:27.287405,16:48:36.355992,1,-1.0
1,16:48:27.287405,16:48:36.671791,1,-1.0
1,16:48:27.287405,16:48:37.057753,1,-1.0
1,16:48:27.287405,16:48:37.442467,1,-1.0
1,16:48:27.287405,16:48:37.863528,1,-1.0
1,16:48:27.287405,16:48:38.492650,1,-1.0
1,16:48:27.287405,16:48:39.159697,-1,-1.0
1,16:48:27.287405,16:48:39.487153,-1,-1.0
1,16:48:27.287405,16:48:39.929871,-1,-1.0
1,16:48:27.287405,16:48:40.393549,-1,-1.0
1,16:48:27.287405,16:48:40.773654,-1,-1.0
1,16:48:27.287405,16:48:41.110645,-1,-1.0
1,16:48:27.287405,16:48:41.495324,-1,-1.0
1,16:48:27.287405,16:48:41.823508,-1,-1.0
1,16:48:27.287405,16:48:42.215073,-1,-1.0
1,16:48:27.287405,16:48:43.888521,-1,-1.0
1,16:48:27.287405,16:48:44.189980,-1,-1.0
1,16:48:27.287405,16:48:44.921222,1,-1.0
1,16:48:27.287405,16:48:45.138198,1,-1.0
1,16:48:27.287405,16:48:45.335572,1,-1.0
1,16:48:27.287405,16:48:45.591615,1,-1.0
1,16:48:27.287405,16:48:45.861746,1,-1.0
1,16:48:27.287405,16:48:46.115655,1,-1.0
1,16:48:27.287405,16:48:46.349557,1,-1.0
1,16:48:27.287405,16:48:46.584992,1,-1.0
1,16:48:27.287405,16:48:46.842624,1,-1.0
1,16:48:27.287405,16:48:47.080886,1,-1.0
1,16:48:27.287405,16:48:47.335825,1,-1.0
1,16:48:27.287405,16:48:47.622259,1,-1.0
1,16:48:27.287405,16:48:47.925591,1,-1.0
1,16:48:27.287405,16:48:48.234533,1,-1.0
1,16:48:27.287405,16:48:48.532617,1,-1.0
1,16:48:27.287405,16:48:48.798071,1,-1.0
1,16:48:27.287405,16:48:49.087007,1,-1.0
1,16:48:27.287405,16:48:49.400806,1,-1.0
1,16:48:27.287405,16:48:49.689885,1,-1.0
1,16:48:27.287405,16:48:50.012012,1,-1.0
1,16:48:27.287405,16:48:50.310313,1,-1.0
1,16:48:27.287405,16:48:50.609871,1,-1.0
1,16:48:27.287405,16:48:50.911333,1,-1.0
1,16:48:27.287405,16:48:51.162551,1,-1.0
1,16:48:27.287405,16:48:51.437420,1,-1.0
1,16:48:27.287405,16:48:51.718532,1,-1.0
1,16:48:27.287405,16:48:52.013534,1,-1.0
1,16:48:27.287405,16:48:52.318798,1,-1.0
1,16:48:27.287405,16:48:52.707979,1,-1.0
1,16:48:27.287405,16:48:52.983452,1,-1.0
1,16:48:27.287405,16:48:53.464797,1,-1.0
1,16:48:27.287405,16:48:53.753148,-1,-1.0
1,16:48:27.287405,16:48:54.046026,-1,-1.0
1,16:48:27.287405,16:48:54.437733,-1,-1.0
1,16:48:27.287405,16:48:54.711843,-1,-1.0
1,16:48:27.287405,16:48:55.032872,-1,-1.0
1,16:48:27.287405,16:48:55.361086,-1,-1.0
1,16:48:27.287405,16:48:55.694551,-1,-1.0
1,16:48:27.287405,16:48:56.080324,1,-1.0
1,16:48:27.287405,16:48:56.254906,1,-1.0
1,16:48:27.287405,16:48:56.450794,1,-1.0
1,16:48:27.287405,16:48:56.710389,1,-1.0
1,16:48:27.287405,16:48:56.945389,1,-1.0
1,16:48:27.287405,16:48:57.192481,1,-1.0
1,16:48:27.287405,16:48:57.425489,1,-1.0
1,16:48:27.287405,16:48:57.647018,1,-1.0
1,16:48:27.287405,16:48:57.871618,1,-1.0
1,16:48:27.287405,16:48:58.128660,1,-1.0
1,16:48:27.287405,16:48:58.384479,1,-1.0
1,16:48:27.287405,16:48:58.640698,1,-1.0
1,16:48:27.287405,16:48:58.900281,1,-1.0
1,16:48:27.287405,16:48:59.137164,1,-1.0
1,16:48:27.287405,16:48:59.423127,1,-1.0
1,16:48:27.287405,16:48:59.816661,1,-1.0
1,16:48:27.287405,16:49:00.022329,1,-1.0
1,16:48:27.287405,16:49:00.270737,1,-1.0
1,16:48:27.287405,16:49:00.568816,1,-1.0
1,16:48:27.287405,16:49:00.959833,1,-1.0
1,16:48:27.287405,16:49:01.723994,1,-1.0
1,16:48:27.287405,16:49:02.840908,1,-1.0
1,16:48:27.287405,16:49:03.337029,-1,-1.0
1,16:48:27.287405,16:49:03.605585,-1,-1.0
1,16:48:27.287405,16:49:04.175248,1,-1.0
1,16:48:27.287405,16:49:04.454493,1,-1.0
1,16:48:27.287405,16:49:04.634669,1,-1.0
1,16:48:27.287405,16:49:04.813942,1,-1.0
1,16:48:27.287405,16:49:04.986290,1,-1.0
1,16:48:27.287405,16:49:05.149727,1,-1.0
1,16:48:27.287405,16:49:05.337566,1,-1.0
1,16:48:27.287405,16:49:05.511362,1,-1.0
1,16:48:27.287405,16:49:05.694530,1,-1.0
1,16:48:27.287405,16:49:05.900351,1,-1.0
1,16:48:27.287405,16:49:06.102450,1,-1.0
1,16:48:27.287405,16:49:06.317960,1,-1.0
1,16:48:27.287405,16:49:06.535824,1,-1.0
1,16:48:27.287405,16:49:06.752214,1,-1.0
1,16:48:27.287405,16:49:06.968722,1,-1.0
1,16:48:27.287405,16:49:07.188275,1,-1.0
1,16:48:27.287405,16:49:07.415500,1,-1.0
1,16:48:27.287405,16:49:07.615416,1,-1.0
1,16:48:27.287405,16:49:07.866432,1,-1.0
1,16:48:27.287405,16:49:08.066293,1,-1.0
1,16:48:27.287405,16:49:08.293000,1,-1.0
1,16:48:27.287405,16:49:08.549705,1,-1.0
1,16:48:27.287405,16:49:08.820394,1,-1.0
1,16:48:27.287405,16:49:09.077874,1,-1.0
1,16:48:27.287405,16:49:09.333152,1,-1.0
1,16:48:27.287405,16:49:09.607915,1,-1.0
1,16:48:27.287405,16:49:09.852494,1,-1.0
1,16:48:27.287405,16:49:10.143118,1,-1.0
1,16:48:27.287405,16:49:10.453128,1,-1.0
1,16:48:27.287405,16:49:10.662327,1,-1.0
1,16:48:27.287405,16:49:10.904943,1,-1.0
1,16:48:27.287405,16:49:11.170879,1,-1.0
1,16:48:27.287405,16:49:11.448269,1,-1.0
1,16:48:27.287405,16:49:11.708696,1,-1.0
1,16:48:27.287405,16:49:12.103672,1,-1.0
