Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,09:59:47.727467,,1,-1.0
1,09:59:48.271631,,1,-1.0
1,09:59:48.816426,,1,-1.0
1,09:59:49.363759,,1,-1.0
1,09:59:49.906180,,1,-1.0
1,09:59:50.458116,,1,-1.0
1,09:59:51.006029,,1,-1.0
1,09:59:51.559554,,1,-1.0
1,09:59:52.113232,,1,-1.0
1,09:59:52.665699,,1,-1.0
1,09:59:53.215368,,1,-1.0
1,09:59:53.768046,,1,-1.0
1,09:59:54.321117,,1,-1.0
1,09:59:54.865916,,1,-1.0
1,09:59:55.408765,,1,-1.0
1,09:59:55.951907,,1,-1.0
1,09:59:56.495940,,1,-1.0
1,09:59:57.039060,,1,-1.0
1,09:59:57.590923,,1,-1.0
1,09:59:58.134982,,1,-1.0
1,09:59:58.679654,,1,-1.0
1,09:59:59.228936,,1,-1.0
1,09:59:59.776543,,1,-1.0
1,10:00:00.478452,,1,-1.0
1,10:00:01.032865,,1,-1.0
1,10:00:01.579887,,1,-1.0
1,10:00:02.130154,,1,-1.0
1,10:00:02.683414,,1,-1.0
1,10:00:03.236074,,1,-1.0
1,10:00:03.786491,,1,-1.0
1,10:00:04.339051,,1,-1.0
1,10:00:04.894927,,1,-1.0
1,10:00:05.449253,,1,-1.0
1,10:00:06.134339,,1,-1.0
1,10:00:06.883953,,1,-1.0
1,10:00:08.279317,,-1,-1.0
1,10:00:08.837932,,-1,-1.0
1,10:00:09.633833,,-1,-1.0
1,10:00:10.187507,,-1,-1.0
1,10:00:10.742061,,-1,-1.0
1,10:00:11.292824,,-1,-1.0
1,10:00:11.844296,,-1,-1.0
1,10:00:12.397829,,-1,-1.0
1,10:00:12.949101,,-1,-1.0
1,10:00:13.501251,,-1,-1.0
1,10:00:14.054279,,1,-1.0
1,10:00:14.603874,,1,-1.0
1,10:00:15.153897,,1,-1.0
1,10:00:15.699762,,1,-1.0
1,10:00:16.241952,,1,-1.0
1,10:00:16.786041,,1,-1.0
1,10:00:17.330946,,1,-1.0
1,10:00:17.874378,,1,-1.0
1,10:00:18.424162,,1,-1.0
1,10:00:18.968682,,1,-1.0
1,10:00:19.514325,,1,-1.0
1,10:00:20.067120,,1,-1.0
1,10:00:20.613398,,1,-1.0
1,10:00:21.159880,,1,-1.0
1,10:00:21.713363,,1,-1.0
1,10:00:22.264136,,1,-1.0
1,10:00:22.813258,,1,-1.0
1,10:00:23.367512,,1,-1.0
1,10:00:23.914533,,1,-1.0
1,10:00:24.467833,,1,-1.0
1,10:00:25.020271,,1,-1.0
1,10:00:25.571762,,1,-1.0
1,10:00:26.957192,,1,-1.0
1,10:00:27.505998,,1,-1.0
1,10:00:28.050786,,1,-1.0
1,10:00:28.599131,,1,-1.0
1,10:00:29.143367,,1,-1.0
1,10:00:29.690841,,1,-1.0
1,10:00:30.243136,,1,-1.0
1,10:00:30.797041,,1,-1.0
1,10:00:31.341782,,1,-1.0
1,10:00:31.884924,,1,-1.0
1,10:00:32.438840,,1,-1.0
1,10:00:32.986443,,1,-1.0
1,10:00:33.539112,,1,-1.0
1,10:00:34.084157,,1,-1.0
1,10:00:34.635160,,1,-1.0
1,10:00:35.180908,,1,-1.0
1,10:00:35.728681,,1,-1.0
1,10:00:36.277551,,1,-1.0
1,10:00:36.860926,,1,-1.0
1,10:00:37.531304,,1,-1.0
1,10:00:38.138565,,1,-1.0
1,10:00:38.822308,,1,-1.0
1,10:00:39.366989,,1,-1.0
1,10:00:39.974451,,1,-1.0
1,10:00:40.530054,,1,-1.0
1,10:00:41.079955,,1,-1.0
1,10:00:41.626077,,1,-1.0
1,10:00:42.170874,,1,-1.0
1,10:00:42.720691,,1,-1.0
1,10:00:43.275242,,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,10:00:47.197083,,1,-1.0
