Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,09:27:49.424361,09:27:50.851539,1,-1.0
1,09:27:49.424361,09:27:59.808819,1,-1.0
1,09:27:49.424361,09:28:01.197724,1,-1.0
1,09:27:49.424361,09:28:01.741560,1,-1.0
1,09:27:49.424361,09:28:02.284653,1,-1.0
1,09:27:49.424361,09:28:02.835395,1,-1.0
1,09:27:49.424361,09:28:03.377631,1,-1.0
1,09:27:49.424361,09:28:03.925512,1,-1.0
1,09:27:49.424361,09:28:04.467879,1,-1.0
1,09:27:49.424361,09:28:05.016628,1,-1.0
1,09:27:49.424361,09:28:05.566263,1,-1.0
1,09:27:49.424361,09:28:06.120052,1,-1.0
1,09:27:49.424361,09:28:06.671982,1,-1.0
1,09:27:49.424361,09:28:07.225294,1,-1.0
1,09:27:49.424361,09:28:07.778896,1,-1.0
1,09:27:49.424361,09:28:08.329471,1,-1.0
1,09:27:49.424361,09:28:08.881301,1,-1.0
1,09:27:49.424361,09:28:09.433095,1,-1.0
1,09:27:49.424361,09:28:09.986295,1,-1.0
1,09:27:49.424361,09:28:10.540911,1,-1.0
1,09:27:49.424361,09:28:11.093610,1,-1.0
1,09:27:49.424361,09:28:11.640836,1,-1.0
1,09:27:49.424361,09:28:12.193693,1,-1.0
1,09:27:49.424361,09:28:12.745637,1,-1.0
1,09:27:49.424361,09:28:13.298829,1,-1.0
1,09:27:49.424361,09:28:13.854486,1,-1.0
1,09:27:49.424361,09:28:14.407727,1,-1.0
1,09:27:49.424361,09:28:14.960753,1,-1.0
1,09:27:49.424361,09:28:15.515305,1,-1.0
1,09:27:49.424361,09:28:16.060443,1,-1.0
1,09:27:49.424361,09:28:16.632285,1,-1.0
1,09:27:49.424361,09:28:17.245703,1,-1.0
1,09:27:49.424361,09:28:17.796053,1,-1.0
1,09:27:49.424361,09:28:18.339156,1,-1.0
1,09:27:49.424361,09:28:18.948247,1,-1.0
1,09:27:49.424361,09:28:19.637535,1,-1.0
1,09:27:49.424361,09:28:21.018698,-1,-1.0
1,09:27:49.424361,09:28:21.665278,-1,-1.0
1,09:27:49.424361,09:28:22.209371,-1,-1.0
1,09:27:49.424361,09:28:22.765488,-1,-1.0
1,09:27:49.424361,09:28:23.314594,-1,-1.0
1,09:27:49.424361,09:28:23.867042,-1,-1.0
1,09:27:49.424361,09:28:24.410297,-1,-1.0
1,09:27:49.424361,09:28:24.954290,-1,-1.0
1,09:27:49.424361,09:28:25.507924,-1,-1.0
1,09:27:49.424361,09:28:26.062040,-1,-1.0
1,09:27:49.424361,09:28:26.612786,-1,-1.0
1,09:27:49.424361,09:28:27.227672,-1,-1.0
1,09:27:49.424361,09:28:28.627718,1,-1.0
1,09:27:49.424361,09:28:29.173174,1,-1.0
1,09:27:49.424361,09:28:29.716055,1,-1.0
1,09:27:49.424361,09:28:30.258211,1,-1.0
1,09:27:49.424361,09:28:30.800601,1,-1.0
1,09:27:49.424361,09:28:31.347391,1,-1.0
1,09:27:49.424361,09:28:31.892285,1,-1.0
1,09:27:49.424361,09:28:32.439082,1,-1.0
1,09:27:49.424361,09:28:32.985459,1,-1.0
1,09:27:49.424361,09:28:33.533040,1,-1.0
1,09:27:49.424361,09:28:34.077978,1,-1.0
1,09:27:49.424361,09:28:34.621087,1,-1.0
1,09:27:49.424361,09:28:35.163730,1,-1.0
1,09:27:49.424361,09:28:35.711325,1,-1.0
1,09:27:49.424361,09:28:36.260321,1,-1.0
1,09:27:49.424361,09:28:36.809230,1,-1.0
1,09:27:49.424361,09:28:37.362861,1,-1.0
1,09:27:49.424361,09:28:37.912782,1,-1.0
1,09:27:49.424361,09:28:38.466691,1,-1.0
1,09:27:49.424361,09:28:39.862338,1,-1.0
1,09:27:49.424361,09:28:40.403458,1,-1.0
1,09:27:49.424361,09:28:40.946569,1,-1.0
1,09:27:49.424361,09:28:41.491399,1,-1.0
1,09:27:49.424361,09:28:42.036288,1,-1.0
1,09:27:49.424361,09:28:42.579603,1,-1.0
1,09:27:49.424361,09:28:43.123151,1,-1.0
1,09:27:49.424361,09:28:43.669250,1,-1.0
1,09:27:49.424361,09:28:44.213540,1,-1.0
1,09:27:49.424361,09:28:44.756595,1,-1.0
1,09:27:49.424361,09:28:45.302534,1,-1.0
1,09:27:49.424361,09:28:45.851523,1,-1.0
1,09:27:49.424361,09:28:46.399656,1,-1.0
1,09:27:49.424361,09:28:46.941857,1,-1.0
1,09:27:49.424361,09:28:47.496295,1,-1.0
1,09:27:49.424361,09:28:48.047737,1,-1.0
1,09:27:49.424361,09:28:48.589754,1,-1.0
1,09:27:49.424361,09:28:49.142618,1,-1.0
1,09:27:49.424361,09:28:49.696075,1,-1.0
1,09:27:49.424361,09:28:50.244548,1,-1.0
1,09:27:49.424361,09:28:50.787221,1,-1.0
1,09:27:49.424361,09:28:51.330570,1,-1.0
1,09:27:49.424361,09:28:52.717178,1,-1.0
1,09:27:49.424361,09:28:53.419770,-1,-1.0
1,09:27:49.424361,09:28:54.820717,-1,-1.0
1,09:27:49.424361,09:28:56.212424,-1,-1.0
1,09:27:49.424361,09:28:56.759635,-1,-1.0
1,09:27:49.424361,09:28:57.309027,-1,-1.0
1,09:27:49.424361,09:28:57.861762,-1,-1.0
1,09:27:49.424361,09:28:58.412021,1,-1.0
1,09:27:49.424361,09:28:58.964636,1,-1.0
1,09:27:49.424361,09:28:59.515660,1,-1.0
1,09:27:49.424361,09:29:00.200436,1,-1.0
1,09:27:49.424361,09:29:00.748205,1,-1.0
1,09:27:49.424361,09:29:01.301756,1,-1.0
1,09:27:49.424361,09:29:01.855346,1,-1.0
1,09:27:49.424361,09:29:02.406314,1,-1.0
1,09:27:49.424361,09:29:02.954275,1,-1.0
1,09:27:49.424361,09:29:03.507407,1,-1.0
1,09:27:49.424361,09:29:04.061482,1,-1.0
1,09:27:49.424361,09:29:04.612112,1,-1.0
1,09:27:49.424361,09:29:05.200457,1,-1.0
1,09:27:49.424361,09:29:05.749946,1,-1.0
1,09:27:49.424361,09:29:06.302779,1,-1.0
1,09:27:49.424361,09:29:06.850256,1,-1.0
1,09:27:49.424361,09:29:07.402979,1,-1.0
1,09:27:49.424361,09:29:07.956361,1,-1.0
1,09:27:49.424361,09:29:08.507505,1,-1.0
1,09:27:49.424361,09:29:09.061429,1,-1.0
1,09:27:49.424361,09:29:09.614435,1,-1.0
1,09:27:49.424361,09:29:10.166198,1,-1.0
1,09:27:49.424361,09:29:10.718792,1,-1.0
1,09:27:49.424361,09:29:11.261544,1,-1.0
1,09:27:49.424361,09:29:11.803346,1,-1.0
1,09:27:49.424361,09:29:12.346124,1,-1.0
1,09:27:49.424361,09:29:12.890075,1,-1.0
1,09:27:49.424361,09:29:13.435287,1,-1.0
1,09:27:49.424361,09:29:14.012652,1,-1.0
1,09:27:49.424361,09:29:14.561763,1,-1.0
1,09:27:49.424361,09:29:15.108031,1,-1.0
1,09:27:49.424361,09:29:15.657669,1,-1.0
1,09:27:49.424361,09:29:17.893233,1,-1.0
1,09:27:49.424361,09:29:18.440106,1,-1.0
1,09:27:49.424361,09:29:18.982856,1,-1.0
1,09:27:49.424361,09:29:19.532409,1,-1.0
1,09:27:49.424361,09:29:20.083225,1,-1.0
1,09:27:49.424361,09:29:20.634271,1,-1.0
1,09:27:49.424361,09:29:21.183422,1,-1.0
1,09:27:49.424361,09:29:21.730887,1,-1.0
1,09:27:49.424361,09:29:22.316645,1,-1.0
1,09:27:49.424361,09:29:22.861582,1,-1.0
1,09:27:49.424361,09:29:23.406980,1,-1.0
1,09:27:49.424361,09:29:23.953062,1,-1.0
1,09:27:49.424361,09:29:24.499349,1,-1.0
1,09:27:49.424361,09:29:25.047983,1,-1.0
1,09:27:49.424361,09:29:25.598775,1,-1.0
1,09:27:49.424361,09:29:26.150944,1,-1.0
1,09:27:49.424361,09:29:26.697436,1,-1.0
1,09:27:49.424361,09:29:27.245698,1,-1.0
1,09:27:49.424361,09:29:27.797226,1,-1.0
1,09:27:49.424361,09:29:28.351748,1,-1.0
1,09:27:49.424361,09:29:28.902619,1,-1.0
1,09:27:49.424361,09:29:29.449022,1,-1.0
1,09:27:49.424361,09:29:30.035077,1,-1.0
1,09:27:49.424361,09:29:30.585667,1,-1.0
1,09:27:49.424361,09:29:31.140297,1,-1.0
1,09:27:49.424361,09:29:31.688235,1,-1.0
1,09:27:49.424361,09:29:32.229644,1,-1.0
1,09:27:49.424361,09:29:32.773381,1,-1.0
1,09:27:49.424361,09:29:33.318103,1,-1.0
1,09:27:49.424361,09:29:33.864776,1,-1.0
1,09:27:49.424361,09:29:34.410789,1,-1.0
1,09:27:49.424361,09:29:34.955795,1,-1.0
1,09:27:49.424361,09:29:35.499234,1,-1.0
1,09:27:49.424361,09:29:36.048340,1,-1.0
1,09:27:49.424361,09:29:36.601107,1,-1.0
1,09:27:49.424361,09:29:37.145019,1,-1.0
1,09:27:49.424361,09:29:37.690523,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,09:29:37.719143,09:29:43.419655,1,-1.0
2,09:29:37.719143,09:29:44.069000,1,-1.0
2,09:29:37.719143,09:29:44.846469,1,-1.0
2,09:29:37.719143,09:29:45.390808,1,-1.0
2,09:29:37.719143,09:29:45.936733,1,-1.0
2,09:29:37.719143,09:29:46.482635,1,-1.0
2,09:29:37.719143,09:29:47.026784,1,-1.0
2,09:29:37.719143,09:29:47.573236,1,-1.0
2,09:29:37.719143,09:29:48.126402,1,-1.0
2,09:29:37.719143,09:29:48.675802,1,-1.0
2,09:29:37.719143,09:29:49.218641,1,-1.0
2,09:29:37.719143,09:29:49.768474,1,-1.0
2,09:29:37.719143,09:29:50.319018,1,-1.0
2,09:29:37.719143,09:29:50.869563,1,-1.0
2,09:29:37.719143,09:29:51.422109,1,-1.0
2,09:29:37.719143,09:29:51.974727,1,-1.0
2,09:29:37.719143,09:29:52.527635,1,-1.0
2,09:29:37.719143,09:29:53.076561,1,-1.0
2,09:29:37.719143,09:29:53.629637,1,-1.0
2,09:29:37.719143,09:29:54.182317,1,-1.0
2,09:29:37.719143,09:29:54.736387,1,-1.0
2,09:29:37.719143,09:29:55.290531,1,-1.0
2,09:29:37.719143,09:29:55.835776,1,-1.0
2,09:29:37.719143,09:29:56.384238,1,-1.0
2,09:29:37.719143,09:29:56.932739,1,-1.0
2,09:29:37.719143,09:29:57.484469,1,-1.0
2,09:29:37.719143,09:29:58.031440,1,-1.0
2,09:29:37.719143,09:29:58.581899,1,-1.0
2,09:29:37.719143,09:29:59.127219,1,-1.0
2,09:29:37.719143,09:29:59.682584,1,-1.0
2,09:29:37.719143,09:30:00.234286,1,-1.0
2,09:29:37.719143,09:30:00.789910,1,-1.0
2,09:29:37.719143,09:30:01.343497,1,-1.0
2,09:29:37.719143,09:30:01.895695,-1,-1.0
2,09:29:37.719143,09:30:03.287235,1,-1.0
2,09:29:37.719143,09:30:03.829007,1,-1.0
