Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,10:14:32.506979,,1,-1.0
1,10:14:33.905078,,-1,-1.0
1,10:14:34.457149,,-1,-1.0
1,10:14:35.859222,,1,-1.0
1,10:14:36.403945,,1,-1.0
1,10:14:36.949857,,1,-1.0
1,10:14:37.493976,,1,-1.0
1,10:14:38.036007,,1,-1.0
1,10:14:38.581117,,1,-1.0
1,10:14:39.126296,,1,-1.0
1,10:14:39.671514,,1,-1.0
1,10:14:40.216750,,1,-1.0
1,10:14:40.759020,,1,-1.0
1,10:14:41.309596,,1,-1.0
1,10:14:41.856078,,1,-1.0
1,10:14:49.531344,,1,-1.0
1,10:14:50.086012,,1,-1.0
1,10:14:50.636316,,1,-1.0
1,10:14:51.187032,,1,-1.0
1,10:14:51.740223,,1,-1.0
1,10:14:52.288692,,1,-1.0
1,10:14:52.840741,,1,-1.0
1,10:14:53.394216,,1,-1.0
1,10:14:53.951351,,1,-1.0
1,10:14:54.500779,,1,-1.0
1,10:14:55.051159,,1,-1.0
1,10:14:55.602246,,1,-1.0
1,10:14:56.151591,,1,-1.0
1,10:14:56.703455,,1,-1.0
1,10:14:57.256083,,1,-1.0
1,10:14:58.036025,,1,-1.0
1,10:15:00.543177,,-1,-1.0
1,10:15:01.101512,,-1,-1.0
1,10:15:01.781550,,-1,-1.0
1,10:15:02.363680,,-1,-1.0
1,10:15:02.964170,,-1,-1.0
1,10:15:03.520038,,-1,-1.0
1,10:15:04.206886,,-1,-1.0
1,10:15:04.927657,,1,-1.0
1,10:15:05.478824,,1,-1.0
1,10:15:06.026483,,1,-1.0
1,10:15:06.577253,,1,-1.0
1,10:15:07.122823,,1,-1.0
1,10:15:07.673775,,1,-1.0
1,10:15:08.223041,,1,-1.0
1,10:15:08.765085,,1,-1.0
1,10:15:09.306854,,1,-1.0
1,10:15:09.852046,,1,-1.0
1,10:15:10.393674,,1,-1.0
1,10:15:10.935561,,1,-1.0
1,10:15:11.478298,,1,-1.0
1,10:15:12.023926,,1,-1.0
1,10:15:12.575040,,1,-1.0
1,10:15:13.119961,,1,-1.0
1,10:15:13.666020,,1,-1.0
1,10:15:14.216067,,1,-1.0
1,10:15:14.764178,,1,-1.0
1,10:15:15.315289,,1,-1.0
1,10:15:15.866761,,1,-1.0
1,10:15:16.419054,,1,-1.0
1,10:15:16.973061,,1,-1.0
1,10:15:17.527921,,1,-1.0
1,10:15:18.076483,,1,-1.0
1,10:15:18.621023,,1,-1.0
1,10:15:19.163021,,1,-1.0
1,10:15:19.704932,,1,-1.0
1,10:15:20.248913,,1,-1.0
1,10:15:20.794011,,1,-1.0
1,10:15:21.337293,,1,-1.0
1,10:15:21.881900,,1,-1.0
1,10:15:22.428959,,1,-1.0
