Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,17:02:46.247114,17:02:47.735306,1,-1.0
1,17:02:46.247114,17:02:48.113807,1,-1.0
1,17:02:46.247114,17:02:48.386802,1,-1.0
1,17:02:46.247114,17:02:48.701594,1,-1.0
1,17:02:46.247114,17:02:48.951141,1,-1.0
1,17:02:46.247114,17:02:49.199426,1,-1.0
1,17:02:46.247114,17:02:49.409733,1,-1.0
1,17:02:46.247114,17:02:49.720633,1,-1.0
1,17:02:46.247114,17:02:49.966976,1,-1.0
1,17:02:46.247114,17:02:50.255893,1,-1.0
1,17:02:46.247114,17:02:50.531154,1,-1.0
1,17:02:46.247114,17:02:50.783254,1,-1.0
1,17:02:46.247114,17:02:51.076603,1,-1.0
1,17:02:46.247114,17:02:51.314298,1,-1.0
1,17:02:46.247114,17:02:51.572629,1,-1.0
1,17:02:46.247114,17:02:51.822703,1,-1.0
1,17:02:46.247114,17:02:52.071666,1,-1.0
1,17:02:46.247114,17:02:52.332602,1,-1.0
1,17:02:46.247114,17:02:52.589612,1,-1.0
1,17:02:46.247114,17:02:52.822990,1,-1.0
1,17:02:46.247114,17:02:53.143514,1,-1.0
1,17:02:46.247114,17:02:53.383176,1,-1.0
1,17:02:46.247114,17:02:53.640284,1,-1.0
1,17:02:46.247114,17:02:53.898504,1,-1.0
1,17:02:46.247114,17:02:54.279175,1,-1.0
1,17:02:46.247114,17:02:54.514048,1,-1.0
1,17:02:46.247114,17:02:54.811716,1,-1.0
1,17:02:46.247114,17:02:55.096826,1,-1.0
1,17:02:46.247114,17:02:55.365988,1,-1.0
1,17:02:46.247114,17:02:55.631414,1,-1.0
1,17:02:46.247114,17:02:55.907250,1,-1.0
1,17:02:46.247114,17:02:56.280068,1,-1.0
1,17:02:46.247114,17:02:56.616204,1,-1.0
1,17:02:46.247114,17:02:56.701639,-1,-1.0
1,17:02:46.247114,17:02:57.093801,-1,-1.0
1,17:02:46.247114,17:02:57.501889,-1,-1.0
1,17:02:46.247114,17:02:57.899241,-1,-1.0
1,17:02:46.247114,17:02:58.315592,-1,-1.0
1,17:02:46.247114,17:02:58.747005,-1,-1.0
1,17:02:46.247114,17:02:59.174199,-1,-1.0
1,17:02:46.247114,17:02:59.601655,-1,-1.0
1,17:02:46.247114,17:03:00.014999,-1,-1.0
1,17:02:46.247114,17:03:00.460048,-1,-1.0
1,17:02:46.247114,17:03:00.861630,-1,-1.0
1,17:02:46.247114,17:03:01.425258,-1,-1.0
1,17:02:46.247114,17:03:02.107292,1,-1.0
1,17:02:46.247114,17:03:02.385304,1,-1.0
1,17:02:46.247114,17:03:02.760346,1,-1.0
1,17:02:46.247114,17:03:03.062978,1,-1.0
1,17:02:46.247114,17:03:03.400767,1,-1.0
1,17:02:46.247114,17:03:03.726733,1,-1.0
1,17:02:46.247114,17:03:04.043384,1,-1.0
1,17:02:46.247114,17:03:04.359325,1,-1.0
1,17:02:46.247114,17:03:04.758178,1,-1.0
1,17:02:46.247114,17:03:05.059573,1,-1.0
1,17:02:46.247114,17:03:05.377709,1,-1.0
1,17:02:46.247114,17:03:05.717633,1,-1.0
1,17:02:46.247114,17:03:06.095227,1,-1.0
1,17:02:46.247114,17:03:06.339980,1,-1.0
1,17:02:46.247114,17:03:06.727434,1,-1.0
1,17:02:46.247114,17:03:07.002251,1,-1.0
1,17:02:46.247114,17:03:07.380909,1,-1.0
1,17:02:46.247114,17:03:07.675318,1,-1.0
1,17:02:46.247114,17:03:07.967602,1,-1.0
1,17:02:46.247114,17:03:08.346141,1,-1.0
1,17:02:46.247114,17:03:08.623538,1,-1.0
1,17:02:46.247114,17:03:09.016393,1,-1.0
1,17:02:46.247114,17:03:09.357572,1,-1.0
1,17:02:46.247114,17:03:09.745051,-1,-1.0
1,17:02:46.247114,17:03:10.141440,-1,-1.0
1,17:02:46.247114,17:03:10.540416,-1,-1.0
1,17:02:46.247114,17:03:10.920354,-1,-1.0
1,17:02:46.247114,17:03:11.237004,-1,-1.0
1,17:02:46.247114,17:03:11.718533,1,-1.0
1,17:02:46.247114,17:03:11.942768,1,-1.0
1,17:02:46.247114,17:03:12.288083,1,-1.0
1,17:02:46.247114,17:03:12.545146,1,-1.0
1,17:02:46.247114,17:03:12.871186,1,-1.0
1,17:02:46.247114,17:03:13.179061,1,-1.0
1,17:02:46.247114,17:03:13.509523,1,-1.0
1,17:02:46.247114,17:03:13.802685,1,-1.0
1,17:02:46.247114,17:03:14.091794,1,-1.0
1,17:02:46.247114,17:03:14.391393,1,-1.0
