Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,10:11:29.033112,,-1,-1.0
1,10:11:31.252047,,1,-1.0
1,10:11:31.800057,,-1,-1.0
1,10:11:32.626402,,-1,-1.0
1,10:11:33.452263,,-1,-1.0
1,10:11:34.848029,,-1,-1.0
1,10:11:36.279464,,1,-1.0
1,10:11:36.830836,,1,-1.0
1,10:11:37.380209,,1,-1.0
1,10:11:37.935441,,1,-1.0
1,10:11:38.490308,,1,-1.0
1,10:11:39.044427,,1,-1.0
1,10:11:39.597918,,1,-1.0
1,10:11:40.148428,,1,-1.0
1,10:11:40.693057,,1,-1.0
1,10:11:41.235921,,1,-1.0
1,10:11:41.785240,,1,-1.0
1,10:11:42.336329,,1,-1.0
1,10:11:42.884421,,1,-1.0
1,10:11:43.438891,,1,-1.0
1,10:11:43.991769,,1,-1.0
1,10:11:44.546064,,1,-1.0
1,10:11:45.101371,,1,-1.0
1,10:11:45.650089,,1,-1.0
1,10:11:46.206222,,1,-1.0
1,10:11:46.761606,,1,-1.0
1,10:11:47.314342,,1,-1.0
1,10:11:47.871845,,1,-1.0
1,10:11:48.425964,,1,-1.0
1,10:11:48.976513,,1,-1.0
1,10:11:49.529971,,1,-1.0
1,10:11:50.082131,,1,-1.0
1,10:11:50.626647,,1,-1.0
1,10:11:51.168667,,1,-1.0
1,10:11:51.712877,,1,-1.0
1,10:11:52.259198,,1,-1.0
1,10:11:52.808669,,1,-1.0
1,10:11:53.358363,,1,-1.0
1,10:11:53.905256,,1,-1.0
1,10:11:54.449227,,1,-1.0
1,10:11:54.995975,,1,-1.0
1,10:11:55.541275,,1,-1.0
1,10:11:58.610256,,-1,-1.0
1,10:11:59.155555,,-1,-1.0
1,10:11:59.708115,,-1,-1.0
1,10:12:00.261441,,-1,-1.0
1,10:12:00.811043,,-1,-1.0
1,10:12:01.352969,,-1,-1.0
1,10:12:01.897654,,-1,-1.0
1,10:12:02.444113,,-1,-1.0
1,10:12:02.989525,,-1,-1.0
1,10:12:03.536894,,-1,-1.0
1,10:12:04.083942,,-1,-1.0
1,10:12:04.632804,,-1,-1.0
1,10:12:05.313058,,1,-1.0
1,10:12:05.862797,,1,-1.0
1,10:12:06.406078,,1,-1.0
1,10:12:06.955024,,1,-1.0
1,10:12:07.502958,,1,-1.0
1,10:12:08.050949,,1,-1.0
1,10:12:08.597956,,1,-1.0
1,10:12:09.145917,,1,-1.0
1,10:12:09.699341,,1,-1.0
1,10:12:10.251994,,1,-1.0
1,10:12:10.801834,,1,-1.0
1,10:12:11.356870,,1,-1.0
1,10:12:11.906211,,1,-1.0
1,10:12:12.463961,,1,-1.0
1,10:12:14.146183,,1,-1.0
1,10:12:14.696549,,1,-1.0
1,10:12:15.245307,,1,-1.0
1,10:12:15.794432,,1,-1.0
1,10:12:16.345213,,1,-1.0
1,10:12:16.900802,,1,-1.0
1,10:12:17.457125,,1,-1.0
1,10:12:18.009877,,1,-1.0
1,10:12:18.565669,,1,-1.0
1,10:12:19.118162,,1,-1.0
1,10:12:19.670753,,1,-1.0
1,10:12:20.223626,,1,-1.0
1,10:12:20.776947,,1,-1.0
1,10:12:21.325321,,1,-1.0
1,10:12:21.869821,,1,-1.0
1,10:12:22.412894,,1,-1.0
1,10:12:22.956181,,1,-1.0
1,10:12:23.521545,,1,-1.0
1,10:12:24.159959,,1,-1.0
1,10:12:24.768528,,1,-1.0
1,10:12:26.156257,,1,-1.0
1,10:12:26.702092,,1,-1.0
1,10:12:27.252001,,1,-1.0
1,10:12:27.804257,,1,-1.0
