Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,16:52:57.064734,16:52:59.141742,1,-1.0
1,16:52:57.064734,16:52:59.530988,1,-1.0
1,16:52:57.064734,16:52:59.913519,1,-1.0
1,16:52:57.064734,16:53:00.206659,1,-1.0
1,16:52:57.064734,16:53:00.614159,1,-1.0
1,16:52:57.064734,16:53:00.915210,1,-1.0
1,16:52:57.064734,16:53:01.249805,1,-1.0
1,16:52:57.064734,16:53:01.629610,1,-1.0
1,16:52:57.064734,16:53:01.903393,1,-1.0
1,16:52:57.064734,16:53:02.224619,1,-1.0
1,16:52:57.064734,16:53:02.544041,1,-1.0
1,16:52:57.064734,16:53:02.840621,1,-1.0
1,16:52:57.064734,16:53:03.109841,1,-1.0
1,16:52:57.064734,16:53:03.392011,1,-1.0
1,16:52:57.064734,16:53:03.679228,1,-1.0
1,16:52:57.064734,16:53:03.933852,1,-1.0
1,16:52:57.064734,16:53:04.231036,1,-1.0
1,16:52:57.064734,16:53:04.484229,1,-1.0
1,16:52:57.064734,16:53:04.726709,1,-1.0
1,16:52:57.064734,16:53:05.003168,1,-1.0
1,16:52:57.064734,16:53:05.299017,1,-1.0
1,16:52:57.064734,16:53:05.574246,1,-1.0
1,16:52:57.064734,16:53:05.838185,1,-1.0
1,16:52:57.064734,16:53:06.154882,1,-1.0
1,16:52:57.064734,16:53:06.469570,1,-1.0
1,16:52:57.064734,16:53:06.805771,1,-1.0
1,16:52:57.064734,16:53:07.272682,1,-1.0
1,16:52:57.064734,16:53:07.649329,1,-1.0
1,16:52:57.064734,16:53:08.138810,-1,-1.0
1,16:52:57.064734,16:53:08.694193,-1,-1.0
1,16:52:57.064734,16:53:09.077034,-1,-1.0
1,16:52:57.064734,16:53:09.414341,-1,-1.0
1,16:52:57.064734,16:53:09.737776,-1,-1.0
1,16:52:57.064734,16:53:10.112982,-1,-1.0
1,16:52:57.064734,16:53:10.438933,-1,-1.0
1,16:52:57.064734,16:53:10.724082,-1,-1.0
1,16:52:57.064734,16:53:11.030557,-1,-1.0
1,16:52:57.064734,16:53:11.334999,-1,-1.0
1,16:52:57.064734,16:53:11.619033,-1,-1.0
1,16:52:57.064734,16:53:11.897916,-1,-1.0
1,16:52:57.064734,16:53:12.623930,1,-1.0
1,16:52:57.064734,16:53:12.816994,1,-1.0
1,16:52:57.064734,16:53:13.021638,1,-1.0
1,16:52:57.064734,16:53:13.218258,1,-1.0
1,16:52:57.064734,16:53:13.442495,1,-1.0
1,16:52:57.064734,16:53:13.658439,1,-1.0
1,16:52:57.064734,16:53:13.864360,1,-1.0
1,16:52:57.064734,16:53:14.085876,1,-1.0
1,16:52:57.064734,16:53:14.309584,1,-1.0
1,16:52:57.064734,16:53:14.541959,1,-1.0
1,16:52:57.064734,16:53:14.760818,1,-1.0
1,16:52:57.064734,16:53:14.985635,1,-1.0
1,16:52:57.064734,16:53:15.209919,1,-1.0
1,16:52:57.064734,16:53:15.434735,1,-1.0
1,16:52:57.064734,16:53:15.661266,1,-1.0
1,16:52:57.064734,16:53:15.919014,1,-1.0
1,16:52:57.064734,16:53:16.160105,1,-1.0
1,16:52:57.064734,16:53:16.414720,1,-1.0
1,16:52:57.064734,16:53:16.665802,1,-1.0
1,16:52:57.064734,16:53:16.903963,1,-1.0
1,16:52:57.064734,16:53:17.159171,1,-1.0
1,16:52:57.064734,16:53:17.388301,1,-1.0
1,16:52:57.064734,16:53:17.622189,1,-1.0
1,16:52:57.064734,16:53:17.856562,1,-1.0
1,16:52:57.064734,16:53:18.100498,1,-1.0
1,16:52:57.064734,16:53:18.342126,1,-1.0
1,16:52:57.064734,16:53:18.557581,1,-1.0
1,16:52:57.064734,16:53:18.830906,1,-1.0
1,16:52:57.064734,16:53:19.089904,1,-1.0
1,16:52:57.064734,16:53:19.302286,1,-1.0
1,16:52:57.064734,16:53:19.557895,1,-1.0
1,16:52:57.064734,16:53:19.789718,1,-1.0
1,16:52:57.064734,16:53:20.103415,1,-1.0
1,16:52:57.064734,16:53:20.400386,1,-1.0
1,16:52:57.064734,16:53:20.687725,1,-1.0
1,16:52:57.064734,16:53:20.879460,-1,-1.0
1,16:52:57.064734,16:53:21.193226,-1,-1.0
1,16:52:57.064734,16:53:21.438559,-1,-1.0
1,16:52:57.064734,16:53:21.650531,-1,-1.0
1,16:52:57.064734,16:53:21.899951,-1,-1.0
1,16:52:57.064734,16:53:22.144313,-1,-1.0
1,16:52:57.064734,16:53:22.401848,-1,-1.0
1,16:52:57.064734,16:53:22.610119,-1,-1.0
1,16:52:57.064734,16:53:22.824662,-1,-1.0
1,16:52:57.064734,16:53:23.089793,1,-1.0
1,16:52:57.064734,16:53:23.468017,-1,-1.0
1,16:52:57.064734,16:53:23.694069,-1,-1.0
1,16:52:57.064734,16:53:23.959818,-1,-1.0
1,16:52:57.064734,16:53:24.243016,-1,-1.0
1,16:52:57.064734,16:53:24.448901,1,-1.0
1,16:52:57.064734,16:53:24.784564,-1,-1.0
1,16:52:57.064734,16:53:25.028164,-1,-1.0
1,16:52:57.064734,16:53:25.464428,-1,-1.0
1,16:52:57.064734,16:53:25.706510,-1,-1.0
1,16:52:57.064734,16:53:26.144773,-1,-1.0
1,16:52:57.064734,16:53:26.399582,-1,-1.0
1,16:52:57.064734,16:53:26.663186,-1,-1.0
1,16:52:57.064734,16:53:27.150629,-1,-1.0
1,16:52:57.064734,16:53:27.580859,-1,-1.0
1,16:52:57.064734,16:53:28.107774,1,-1.0
1,16:52:57.064734,16:53:28.560162,-1,-1.0
1,16:52:57.064734,16:53:29.048363,-1,-1.0
1,16:52:57.064734,16:53:29.528036,1,-1.0
1,16:52:57.064734,16:53:29.944610,1,-1.0
1,16:52:57.064734,16:53:30.351201,1,-1.0
1,16:52:57.064734,16:53:30.687606,1,-1.0
1,16:52:57.064734,16:53:31.063191,1,-1.0
1,16:52:57.064734,16:53:31.377936,1,-1.0
1,16:52:57.064734,16:53:31.753185,1,-1.0
1,16:52:57.064734,16:53:32.080862,1,-1.0
1,16:52:57.064734,16:53:32.405612,1,-1.0
1,16:52:57.064734,16:53:32.730517,1,-1.0
1,16:52:57.064734,16:53:33.065653,1,-1.0
1,16:52:57.064734,16:53:33.442850,1,-1.0
1,16:52:57.064734,16:53:33.826474,1,-1.0
1,16:52:57.064734,16:53:34.331592,-1,-1.0
1,16:52:57.064734,16:53:34.598499,-1,-1.0
1,16:52:57.064734,16:53:34.895280,-1,-1.0
1,16:52:57.064734,16:53:35.269817,1,-1.0
1,16:52:57.064734,16:53:35.463739,1,-1.0
1,16:52:57.064734,16:53:35.708182,1,-1.0
1,16:52:57.064734,16:53:35.889496,1,-1.0
1,16:52:57.064734,16:53:36.121290,1,-1.0
1,16:52:57.064734,16:53:36.348337,1,-1.0
1,16:52:57.064734,16:53:36.686720,1,-1.0
1,16:52:57.064734,16:53:36.962770,1,-1.0
1,16:52:57.064734,16:53:37.287542,1,-1.0
1,16:52:57.064734,16:53:37.533268,1,-1.0
1,16:52:57.064734,16:53:37.785886,1,-1.0
1,16:52:57.064734,16:53:38.029677,1,-1.0
1,16:52:57.064734,16:53:38.263095,1,-1.0
1,16:52:57.064734,16:53:38.526178,1,-1.0
1,16:52:57.064734,16:53:38.790400,1,-1.0
1,16:52:57.064734,16:53:39.054618,1,-1.0
1,16:52:57.064734,16:53:39.303141,1,-1.0
1,16:52:57.064734,16:53:39.559349,1,-1.0
1,16:52:57.064734,16:53:39.812750,1,-1.0
1,16:52:57.064734,16:53:40.055047,1,-1.0
1,16:52:57.064734,16:53:40.329892,1,-1.0
1,16:52:57.064734,16:53:40.565904,1,-1.0
1,16:52:57.064734,16:53:40.838897,1,-1.0
1,16:52:57.064734,16:53:41.085993,1,-1.0
1,16:52:57.064734,16:53:41.343297,1,-1.0
1,16:52:57.064734,16:53:41.599865,1,-1.0
1,16:52:57.064734,16:53:41.870722,1,-1.0
1,16:52:57.064734,16:53:42.138666,1,-1.0
1,16:52:57.064734,16:53:42.388184,1,-1.0
