Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,10:54:23.698942,10:54:31.062404,1,-1.0
1,10:54:23.698942,10:54:31.708877,-1,-1.0
1,10:54:23.698942,10:54:32.252092,-1,-1.0
1,10:54:23.698942,10:54:32.900950,-1,-1.0
1,10:54:23.698942,10:54:33.507996,1,-1.0
1,10:54:23.698942,10:54:34.886968,1,-1.0
1,10:54:23.698942,10:54:35.651116,1,-1.0
1,10:54:23.698942,10:54:37.029148,1,-1.0
1,10:54:23.698942,10:54:37.569959,1,-1.0
1,10:54:23.698942,10:54:38.111810,1,-1.0
1,10:54:23.698942,10:54:38.904700,1,-1.0
1,10:54:23.698942,10:54:40.282996,1,-1.0
1,10:54:23.698942,10:54:40.825339,1,-1.0
1,10:54:23.698942,10:54:42.207086,1,-1.0
1,10:54:23.698942,10:54:42.752384,1,-1.0
1,10:54:23.698942,10:54:43.467875,1,-1.0
1,10:54:23.698942,10:54:44.272615,1,-1.0
1,10:54:23.698942,10:54:44.901402,1,-1.0
1,10:54:23.698942,10:54:45.725809,1,-1.0
1,10:54:23.698942,10:54:46.289231,1,-1.0
1,10:54:23.698942,10:54:46.836939,1,-1.0
1,10:54:23.698942,10:54:47.382183,1,-1.0
1,10:54:23.698942,10:54:47.925005,1,-1.0
1,10:54:23.698942,10:54:48.469224,1,-1.0
1,10:54:23.698942,10:54:49.011811,1,-1.0
1,10:54:23.698942,10:54:49.555119,1,-1.0
1,10:54:23.698942,10:54:50.100340,1,-1.0
1,10:54:23.698942,10:54:50.642662,1,-1.0
1,10:54:23.698942,10:54:51.189204,1,-1.0
1,10:54:23.698942,10:54:51.735275,1,-1.0
1,10:54:23.698942,10:54:52.280339,1,-1.0
1,10:54:23.698942,10:54:52.823085,1,-1.0
1,10:54:23.698942,10:54:53.364964,1,-1.0
1,10:54:23.698942,10:54:53.910274,1,-1.0
1,10:54:23.698942,10:54:54.453995,1,-1.0
1,10:54:23.698942,10:54:54.997692,1,-1.0
1,10:54:23.698942,10:54:55.546005,1,-1.0
1,10:54:23.698942,10:54:56.185365,1,-1.0
